# Epoch Name JD Elevation T225 RMS Steve_offset_x Steve_offset_y Cal_f Cal_f_err JCMT_Offset_x JCMT_offset_y XC_off_x XC_Off_x_err XC_off_y XC_Off_y_err BA BA_err MA MA_err AC_amp AC_amp_err AC_sig_x AC_sig_x_err AC_sig_y AC_sig_y_err AC_theta AC_theta_err 
1 IC348_20151222_00019_450 2457378.7284605987 53.0 0.063 0.144 0.0 0.0 1.0585762017877012 0.004510767342351341 0.0 0.0 -7.486454995841996e-05 0.5971485298653227 -1.943391669101402e-05 0.6342494108822775 76173.77684307819 18890.55632929288 -651.8587853059528 686.6502313235345 56323.87706500974 457563.07506343565 1.136806853478983 12.124785097451381 1.0335034969789965 10.94959008720463 3.8095821433700223 2890690457.2137656
2 IC348_20160115_00022_450 2457402.826018501 67.0 0.073 0.1348 2.658641363014307 0.9132131999490412 0.9520840368384216 0.016895953641868966 -9.0 6.0 -9.343609398912122 0.8750393087995105 6.163502932594156 0.5816694333474601 87554.56203066699 8857.156818889189 -761.9404178876964 321.9475813791119 61222.05171013832 179141.27931619197 0.8539235927862646 2.7214756684655947 2.240821460006558 8.137069123902396 5.992021423343765 842400343.232529
3 IC348_20160205_00018_450 2457423.7676156983 66.0 0.037 0.0936 2.3521606140109976 4.049147843757623 0.7357147772810139 0.01018766693681794 -12.0 6.0 -11.93752756170602 0.5853091233887509 6.088437256586531 0.5541227616095671 120743.20363977138 5862.809198165393 -968.9342273000375 213.10644722178122 50253.667031522804 -5.0 -3.5350424124703768 -5.0 -3.461237949597041 -5.0 5.797196271133757 -5.0
4 IC348_20160226_00020_450 2457444.7896065004 42.0 0.054 0.1682 2.8278901815670507 3.9827849026082163 0.8412607745250945 0.048034047300287035 -4.0 12.0 -4.401490732952539 0.9331587751588266 12.16449331112193 0.6870592253277923 87849.65192781502 17599.123880282346 -927.1309556919465 639.7081409107197 83651.19770931585 1337175.8065246588 0.4781180160172156 13.382724916660887 -0.7682941744980957 22.04769718197647 3.7190139846395525 6377817083.763877
5 IC348_20160318_00027_450 2457465.7467245013 40.0 0.049 0.1458 5.346806617099271 0.7814110806299368 0.8311707140997815 0.020968349025821287 -2.0 14.0 -1.916982489522411 0.9730548109179249 13.90044021382306 0.7282548001792967 99991.31883987828 13165.46470913685 -718.301168076576 478.54966337965885 65325.288062735635 373085.2018896654 0.3656213332354004 2.097727781399669 2.404774977374615 14.935219150584796 2.277781222547162 134736803.31456983
6 IC348_20160417_00009_450 2457495.6792708 35.0 0.036 0.1073 2.9824114826342885 4.2648744612091605 0.7472391932290909 0.02020237657606599 -2.0 14.0 -1.5780058892134434 0.6440703838398298 13.313046750109493 0.6127623672649092 106123.30772131785 6870.577793415816 -789.2324047719734 249.73769006008905 89051.31591666034 1259217.507132125 -6.224056986504732 60.31799313655747 -5.740170032850422 57.02725119286965 0.27856326986669444 1041221791.0562707
7 IC348_20161126_00022_450 2457718.7500693984 40.0 0.049 0.09345 4.673272001758877 0.09634955897865893 1.311743686097583 0.07352746488783513 2.0 -3.0 1.5341518919849477 0.531374278526159 -3.7285022608363647 0.530726476405299 69903.14400091898 3587.1658151174797 -1066.735694377671 130.3893974944142 59475.359171610406 47766.780948866224 3.1026566341637802 4.9579985693665405 2.8238747914807583 4.528504471769736 4.414156266762909 348542813.9174437
8 IC348_20170209_00028_450 2457793.8217592984 48.0 0.091 0.3702 3.0589107372645903 4.018197914165 0.9412275025117909 0.05301145329220618 -5.0 13.0 -0.2823908085281346 5.1518484401606 11.064079832720893 4.023658326929561 253612.58812720826 63571.79462454462 -2833.6761660112084 2310.7624332082964 474552.54853295925 1437479.8511060828 1.4768896240682405 4.78996564157849 0.9564695949771177 3.0931124189615447 4.262015983216443 1968967050.1446276
9 IC348_20170320_00019_450 2457832.726423599 42.0 0.086 0.4231 4.3869227943236195 4.506460496000955 0.8817850234441451 0.039246071416333954 -3.0 13.0 -98.02995370280263 1.5694969167279675 -258.89111961093636 1.4717399458953118 162420.29819484756 71408.8081362072 -3415.861729709752 2595.6289754868153 716081.704853839 2081783.5634388153 0.9159121907048374 3.141425304496254 0.9295829289437233 3.1921805147358655 2.666415492337457 1276119918.6980877
10 IC348_20170624_00025_450 2457929.2097106017 51.0 0.094 0.428 3.7663438047542193 2.766725794378999 0.8048439719335507 0.04282806732234722 2.0 -2.0 1.5943293380299224 2.0522473639697005 -2.5852984802434094 2.023768960630872 191941.15916283202 91262.36285454825 -3425.31637650725 3317.2831353609026 804004.9733214265 2684344.9969977727 0.806764715560889 2.7968958217294193 0.9599815543709621 3.3044896393797427 4.211358782163877 11088060833.793386
11 IC348_20170801_00044_450 2457967.1258565 58.0 0.089 0.2674 2.928025636822698 1.0892043836207677 0.8873727289742066 0.016724557304037158 2.0 0.0 1.4516084310095607 1.8003593663760296 -0.41742839924597774 2.8139683010129417 120302.10884009185 36569.62262774931 -2198.2787355526166 1329.2641753606415 305589.18225808826 857304.9084446286 1.0968992836721672 3.209374877549022 1.1366261123327748 3.325371016918153 4.942152440490972 1308797218619.3396
12 IC348_20170902_00071_450 2457999.314675901 30.0 0.043 0.1045 2.3926220475973694 3.215442455851303 1.4026755315822532 0.02499002532799166 -1.0 15.0 -1.1024966945378196 0.5280259868270009 14.756993659657155 0.5208303391062898 75811.09816961808 4338.710792424687 -1003.0231362875518 157.70720311121056 49199.04298589221 68711.38391782728 -3.974493205592929 8.693004225832292 -2.649655652940572 5.678129803823498 1.5366504872028344 146750395.81178057
13 IC348_20170930_00038_450 2458026.926458299 46.0 0.076 0.2292 4.435999564004682 0.8577189231169768 1.0728386758349284 0.012544280247085203 2.0 -1.0 1.8166632084002572 1.174241379820866 -0.7436905112794534 1.1344169735404133 90965.1473331511 29753.608019772826 -1335.8274325275074 1081.5098153083297 154681.23268410077 1045973.1543802711 0.5165570330818101 3.7560387550743783 1.3214453219895717 9.832468310258111 5.3686420144836475 1069182553.0121773
14 IC348_20171208_00025_450 2458095.777453698 59.0 0.102 0.3641 1.1509940989658265 0.7427495428891007 0.8537377909352153 0.0010215026947567594 4.0 1.0 4.29822675682891 2.612558600635664 -0.03762886686638467 1.4527861695133713 156671.12269575906 64709.783860593685 -2367.5937596520753 2352.1270678810342 298622.1878046211 1212318.122054463 1.678911632446229 8.51070660123004 1.25938500681367 6.238250575161944 5.324623957167468 2034957550.345581
15 IC348_20180111_00013_450 2458129.704432901 65.0 0.1 0.2385 4.613792180107802 0.8163106896702743 1.0578254612880789 0.0942702391528975 2.0 -3.0 2.0921245663273567 1.6543163425158445 -3.4250720064563325 1.4157339180378083 270366.3493806685 35857.112288259195 -6022.4742244702775 1303.3652359064238 881525.5921821953 580959.635655477 1.3003522712751836 0.9240743285564771 1.2064819231803168 0.8567506717545663 6.014755454520682 184065306.5834152
16 IC348_20180209_00013_450 2458158.7866897993 57.0 0.094 0.2008 2.2299690170435684 0.5103311627962626 1.166555839205249 0.0499997930228182 -6.0 10.0 -5.773522698502973 0.8684153462624655 10.041612068218456 0.8369307144216287 127212.91430230638 15074.596063606494 -1694.6890839607056 547.9444245109951 160524.70346450937 372381.6388744381 1.0685315661024686 3.7091232946375925 1.1480525717905627 4.011374803169554 4.117698182072104 7495385706.34522
17 IC348_20181203_00029_450 2458455.7231481 37.0 0.064 0.1036 4.012779929707629 2.9217274579366403 1.6911576054829376 0.06023166310427641 2.0 -4.0 2.336011566752518 0.8171215778094187 -4.642185551707257 0.8573867944068535 69625.20959098279 4766.496227911446 -904.2891766734117 173.25671768392925 58289.65716541748 83306.63742871265 -3.132572339168576 6.498452181771031 -3.378170118145296 6.794391404237927 0.6627935767739359 2741971396.4321027
18 IC348_20190103_00014_450 2458486.698275499 55.0 0.072 0.1086 4.177256623040858 -1.075359594783265 1.3963556330081355 0.004613898368237557 3.0 1.0 3.0590257202475186 0.7122406949344939 0.6654788579946853 1.0069512422466715 85629.49320732594 6448.083236944773 -1043.7891719607464 234.3804928575953 66357.43213513678 -5.0 3.4866614348756646 -5.0 -3.508942428687978 -5.0 2.3418840567447816 -5.0
19 IC348_20190209_00023_450 2458523.791342601 58.0 0.052 0.08316 5.192161499327217 0.8827842935716035 1.0398729140946927 0.010334989778909896 -4.0 9.0 -3.9777070697115278 0.42527137927362174 8.520902496885185 0.38665984772791295 104484.55697805615 3424.8772611476547 -1241.5139229975284 124.49039360274426 62657.72659765191 61261.57006174007 3.5076635794886046 4.74075471035283 3.0680841773467256 4.378538741800662 2.4328079013633186 200360902.19958776
20 IC348_20190310_00021_450 2458552.762164399 40.0 0.086 1.135 3.053897287439552 2.048964608843562 0.32596193784613114 0.11233971134668747 -4.0 15.0 36.105304143359206 2.196046877927654 -30.921056974186 1.6284928252249509 1226866.6610016937 479804.07960326783 -23828.981913737854 17440.332682944278 6125216.602159025 13040850.271857386 0.9763129504940304 20.72527720358907 0.9493386402259295 20.06698070728283 3.300603041910776 42765373089.66128
21 IC348_20190909_00049_450 2458736.053796299 66.0 0.065 0.1019 4.8323566482835885 0.6244688803988652 1.1083834824365082 0.10928726621079242 2.0 -5.0 1.863012182902139 0.5054235049738681 -5.65763387797125 0.4572159927235434 82394.02146525314 3989.547766738218 -1152.2991352750564 145.0155243320794 79266.13748729497 104837.28450231437 3.3720141553159753 5.2314363401963035 4.434129765167581 6.9732025406228235 2.5318799334062945 127360231.70219165
