# Epoch Name JD Elevation T225 RMS Steve_offset_x Steve_offset_y Cal_f Cal_f_err JCMT_Offset_x JCMT_offset_y XC_off_x XC_Off_x_err XC_off_y XC_Off_y_err BA BA_err MA MA_err AC_amp AC_amp_err AC_sig_x AC_sig_x_err AC_sig_y AC_sig_y_err AC_theta AC_theta_err 
11 SERPENS_SOUTH_20170518_00037_450 2457891.9439352006 49.0 0.042 0.07835 0.4518307818208163 4.3865085441942835 0.9725923580812098 0.0555487750872522 -1.0 -7.0 -0.8722422688762776 0.09807587997265407 -6.991249494952513 0.16551153908135835 593172.4120013509 6292.285311211093 -6137.494569032702 228.71741664132554 592567.408011397 18239.096652611846 7.606649974664497 0.925614409103696 5.353790611566987 0.3458792059120907 1.6701704102208357 0.12676565940778423
12 SERPENS_SOUTH_20170812_00022_450 2457977.790381901 67.0 0.099 0.2504 1.6712785137979542 0.9367235443124333 0.9421848468773947 0.027817815047290136 -4.0 9.0 -4.086574589087263 0.2625639566589879 9.446289814964075 0.417034807643825 867331.9401417956 21175.060490742682 -10497.4857782033 769.689363213344 893216.492064997 130994.48812705946 5.753775813116911 1.9247404246752737 5.024736710545791 1.3666307015899006 5.096853262985203 1.4527468297049333
13 SERPENS_SOUTH_20170912_00018_450 2458008.7566782013 63.0 0.1 0.2739 -0.10850260395498183 0.7522979083415127 1.0384814375471658 0.04498425515576167 -8.0 13.0 -8.41312032116707 0.24346648507671717 12.977710535032088 0.4422520006282021 755547.6564101238 31572.249115090628 -9587.719337211103 1147.6153507259312 819577.1806704097 192273.1702202664 5.173340241329342 2.545411004793705 4.2023003335889655 1.4867410347307706 1.5898464813743063 1.0859563957701777
14 SERPENS_SOUTH_20180310_00046_450 2458188.1480786987 55.0 0.098 0.3402 3.1171497245879025 3.37210775155828 0.8824438168469474 0.07457048805335903 2.0 -3.0 2.0650639918108595 0.35715848248531973 -2.846854687809582 0.49587665690556915 754315.2520678327 59734.63056548567 -8692.51918029143 2171.2858868264893 840791.76159625 389894.35253870813 5.090726189250713 4.779488212945724 4.053407667936934 2.6950362323558874 4.868309477095653 1.9647016226039329
15 SERPENS_SOUTH_20180425_00018_450 2458234.1183681004 66.0 0.067 0.08997 -1.9411196688888959 1.6594399370789437 1.1193941496157622 0.017253195329346417 -13.0 11.0 -13.06751732105198 0.10009088839934965 11.083088957889515 0.16382099886248794 772005.750532473 8050.333301277456 -8130.428246596289 292.6204609790191 771957.6139636394 25333.179907995334 7.31706343027664 0.8902486112624719 5.36400126210473 0.37259280047415533 1.5629283812270571 0.1463369496422494
16 SERPENS_SOUTH_20180910_00013_450 2458371.7216551006 67.0 0.087 0.1841 2.033612915441057 -1.1913283558726206 0.9384329732343272 0.03315738360941513 -12.0 12.0 -12.329701785631244 0.17771633075259732 12.215868118732033 0.33402613116741414 866604.3724764824 12297.21679231259 -8995.163095583168 446.9898481823309 866501.1754650682 60565.70346376243 7.319771615635263 1.8957709804690988 5.443122621494648 0.8247937946416486 4.7105475203819065 0.3302670340753073
17 SERPENS_SOUTH_20181022_00012_450 2458413.6862384006 55.0 0.086 0.1795 0.7774502405599866 2.273470966836477 1.1761640888069307 0.021481450720770786 -11.0 14.0 -11.07502402521203 0.15179594560483037 13.76104272564703 0.31362289516423053 1035780.7735279042 13702.923101131168 -10247.38735855806 498.08567170437897 1025866.4089534695 68238.04542352365 5.691827809851717 0.8784857192785488 7.81246329407611 2.1505740737158514 0.0824718067829544 0.3225881277823923
18 SERPENS_SOUTH_20190216_00037_450 2458531.1676042005 40.0 0.034 0.05975 0.3650749957501699 -0.05400638126624446 1.1348431782921098 0.006122424135065208 -4.0 -6.0 -4.021850396132379 0.09220910189106016 -5.888792421500227 0.15950428410137837 645344.4228385895 6634.0986161076635 -6591.945727262208 241.1419388772757 641493.0558890338 17086.344510398405 5.447558118915973 0.31311104658562006 7.8924160025860965 0.890567299950436 3.2128789958262782 0.1070666547309145
19 SERPENS_SOUTH_20190316_00058_450 2458559.0743633993 34.0 0.035 0.06213 -0.2323424339520862 2.035753460790338 1.1193067064217768 0.05435568411711314 -6.0 -6.0 -5.69774498914046 0.09399035532426607 -6.139162049241861 0.15171124594694343 767707.232874907 7597.697318797317 -7769.592296049219 276.16765504391185 763030.1215517183 19590.66661027046 7.867271188021008 0.8526515877403016 5.507751914635084 0.31122393284493194 1.5900570352738361 0.10697345496007181
20 SERPENS_SOUTH_20190418_00043_450 2458592.0120370016 44.0 0.042 0.07074 0.04348445756408456 3.074537275348003 1.063418623929563 0.030977325391191704 -5.0 -7.0 -4.975095961622969 0.0885023819839865 -7.01522118352824 0.14911257633444228 742056.0053375458 7370.745221830472 -7322.85205203326 267.9182060329967 735445.963411551 20749.702309796947 8.088836075028365 1.0019146795864498 5.599758383196714 0.3551039045810298 1.6974161902464617 0.12135143712395641
21 SERPENS_SOUTH_20190507_00056_450 2458611.056331001 67.0 0.083 0.1209 1.4924191862130176 0.7515918154889104 1.4333339753896484 0.0677056954597941 -4.0 8.0 -4.1069273964315585 0.14139610840260203 8.11746078757426 0.22432903930540368 701149.5031717623 6564.847871070627 -7585.574851031559 238.62475331837558 700074.350123924 29970.230305187928 5.5561176352711135 0.5350409758436355 6.8115300270702415 0.9453608660275095 3.2083617185069877 0.2865523481031299
22 SERPENS_SOUTH_20190711_00015_450 2458675.777789399 43.0 0.062 0.1587 1.3375393197307877 1.7546544329678668 0.9943540608642278 0.03363166391146186 -5.0 -6.0 -5.007682369283714 0.16554290374188962 -5.955981771062625 0.2520363989130256 762253.340463388 12760.588659776275 -8787.43794326695 463.8328840552349 770058.5983785526 68409.045533915 6.5286118174878975 1.7555791882970082 5.078619014410534 0.8796993279008976 4.796314476928771 0.44217015068758725
23 SERPENS_SOUTH_20191005_00010_450 2458761.7091897987 60.0 0.052 0.08313 2.103861135921166 1.3712278824724675 0.9589761569303278 0.05636236744899619 -7.0 13.0 -6.896244460867706 0.08869452362487391 13.265380864249153 0.17522628697382814 805688.460682937 9646.72013443417 -8237.274575092542 350.6473052483951 801751.3435482364 24518.434129243724 5.296689001200944 0.3336219948294434 8.218039198140564 1.153505630856293 3.1663543871607236 0.10349888133267722
24 SERPENS_SOUTH_20191019_00010_450 2458775.694525499 57.0 0.058 0.1568 0.6349847803028703 1.313137466650821 0.6460174252665359 0.025816546378955092 -11.0 16.0 -11.00410660871131 0.16991461895146814 16.37397011029765 0.3773116219932311 822088.7867508268 14911.570556072567 -8794.68538760489 542.0186293301251 818334.3323923573 77836.95320893855 5.277467763686856 1.0318763031934204 7.562106795796711 2.829317225431961 0.05578571309491226 0.37219635973831283
