# Epoch Name JD Elevation T225 RMS Steve_offset_x Steve_offset_y Cal_f Cal_f_err BA BA_err MA MA_err Covariance_div JCMT_Offset_x JCMT_offset_y XCorr_offset_x XCorr_offset_y BD BD_err MD MD_err
1 SERPENS_MAIN_20160202_00054_850 2457421.218263902 45.0 0.091 0.01223 0.0 0.0 0.9606916925620986 0.007591913936993416 29948.90002699215 149.7527984307068 -421.61855558201677 9.888389742272102 inf 0.0 0.0 0.05194679523310697 0.09777576123263998 1.000000000028682 inf -2.1811441541785825e-12 inf
2 SERPENS_MAIN_20160223_00050_850 2457442.166574098 49.0 0.05 0.01112 0.8290726594239165 0.6277716107075393 1.0207988128578933 0.007806258514795058 29471.25346668987 159.25678986957084 -425.8260697372695 10.515951651216806 -8.690239578167637e-08 0.0 0.0 -0.08185274395745523 0.2246995427745162 0.9848457482546049 0.001231125539670686 -0.0005529628088778438 8.129297636512545e-05
3 SERPENS_MAIN_20160317_00051_850 2457465.1380439997 57.0 0.04 0.01212 -1.8283114356948285 1.0244901497816095 0.9404651920834283 0.013879800381690937 31692.179692392983 193.7573659249099 -410.9787152903303 12.79407371675963 -1.1234856032527592e-06 3.0 3.0 2.9445762077696713 3.04627995302414 1.0559169730183426 0.004426599821603582 0.0017403624886568325 0.00029229465136366083
4 SERPENS_MAIN_20160415_00046_850 2457494.0362153016 50.0 0.04 0.01044 0.6881463501211558 1.186929790692804 1.103520335867204 0.008767480763218795 28040.717999786746 133.34014784120833 -442.88656024733393 8.804639067987804 -3.180177213633084e-07 1.0 0.0 0.9274742326154808 0.03986442193368589 0.9393913838493952 0.002355115235993964 -0.002374615846463035 0.0001555115970184434
5 SERPENS_MAIN_20160521_00039_850 2457529.884687498 35.0 0.077 0.01387 -0.10942762745627804 2.358288132877626 0.9796250535474303 0.007272257206328289 29795.788203699594 161.02322275512415 -435.5937466100307 10.632591779687523 -1.1876286849283723e-07 -2.0 -2.0 -2.018286237188221 -1.793209165553833 0.9961862949205361 0.001439218755395787 -0.0008238402559712643 9.50336622666245e-05
6 SERPENS_MAIN_20160722_00023_850 2457591.9213426 61.0 0.096 0.01196 0.8765548024598708 0.013147137775781914 0.9788458924873453 0.010333127885845216 28851.957704778102 164.86702747140086 -429.18009746997416 10.886403844700087 -6.19359037740852e-07 -5.0 17.0 -5.26395957705401 16.575631655843154 0.9648064523878176 0.0032866822751431795 -0.0011358463927337858 0.00021702430208608367
7 SERPENS_MAIN_20160827_00012_850 2457627.7081480995 63.0 0.087 0.0111 0.2698288312022604 0.943130803429959 1.0015163020974538 0.00798446477970723 28573.39271806899 133.1136415311232 -442.68125716536446 8.789682538587163 -2.729734023299279e-07 3.0 7.0 2.7704773880717255 7.013617682478014 0.9566929757061363 0.0021819594034915364 -0.0019941123355209367 0.0001440778744766729
8 SERPENS_MAIN_20160929_00012_850 2457660.7166781984 63.0 0.094 0.01248 0.08273847222418224 2.1596232682284278 0.9521702916497568 0.009485366962850055 29472.776743851715 159.03752719747888 -455.37119095631374 10.501473503886292 -4.004146539753582e-07 -4.0 16.0 -3.9589009842123914 15.931295299782704 0.9867287918336326 0.002642661181320107 -0.0020037011942681815 0.0001744986629999332
9 SERPENS_MAIN_20170222_00070_850 2457807.154189799 45.0 0.097 0.01019 -1.8660984574919857 -1.283481323871083 1.0623664268473898 0.013887387990152444 30903.77249481509 140.32659329186478 -452.39074321134046 9.265964036468723 -2.9769282116849384e-07 -1.0 1.0 -0.9645116332041255 1.076796592714345 1.0329875277849836 0.0022786136792908897 -0.0008471874192035322 0.00015046007872119796
10 SERPENS_MAIN_20170320_00056_850 2457833.0768286996 41.0 0.066 0.01058 -0.39570036862533875 3.4748776448866225 1.0165037951879832 0.00750315395636542 31335.222215799662 198.17951979461193 -446.8892341731048 13.086074650618395 -3.9952474128777803e-07 -1.0 -1.0 -0.8852319252905261 -1.0466096511696037 1.0469093760388135 0.002639723493700093 -0.00032091486857721563 0.0001743046473819528
11 SERPENS_MAIN_20170403_00053_850 2457847.0582176 46.0 0.063 0.01018 1.2146489072219546 4.994292155764371 1.0281683202588836 0.007193906112576777 31292.14984080096 173.38525238524764 -439.8320625821922 11.448874204470656 -7.70955830918811e-08 1.0 -1.0 1.0755342276339945 -0.6723454404776419 1.0448616788817133 0.0011595890633943708 2.3166206703062464e-05 7.656833772577458e-05
12 SERPENS_MAIN_20170417_00044_850 2457861.0236110985 49.0 0.057 0.008945 -2.130811420014994 0.05495032315319115 1.1179315469716435 0.008603151506755452 29207.94578773662 162.44561378503187 -442.4234388878023 10.726514256870596 -4.597422561029492e-08 0.0 1.0 0.021951048522822703 1.088818779190575 0.977510928290101 0.0008954548669621142 -0.0015730550708302688 5.9128156513891745e-05
13 SERPENS_MAIN_20170505_00035_850 2457878.9396180995 38.0 0.046 0.008076 -1.7131545320789807 -1.7057516455845942 1.1620745109933568 0.009345200008527958 29767.787595567104 147.36288804491315 -473.4458782284973 9.730580514996552 -1.6600305182209143e-07 -2.0 0.0 -2.1943041956982086 0.102207553171894 0.9976415763004989 0.0017015492917034664 -0.0027035119197151847 0.00011235571350549732
14 SERPENS_MAIN_20170519_00030_850 2457893.1211110987 55.0 0.105 0.01207 -0.8411224432794526 -0.4945215025928958 1.036332909817546 0.009857873428820857 29752.266552985955 170.91086791106588 -457.533053385108 11.285487132864638 -9.540378387434782e-07 -5.0 18.0 -5.015453747357185 18.093729069597003 0.9961012724319351 0.004079146478822304 -0.0019270660302157516 0.0002693518252025275
