# Epoch JD Elevation T225 RMS Cal_f  Cal_f_err B_5 B_Err_5 m_5 m_5_err B_10 B_Err_10 m_10 m_10_err B_15 B_Err_15 m_15 m_15_err
1.0 2457382.8616204 62.0 0.109 0.01162 1.0215580205421393 0.011038462943458014 1.000000005062856 3.078396375577242e-10 -1.3581576398521632e-09 8.562939957514346e-11 1.0000000045083655 1.8334252187607876e-10 -6.571008272779543e-10 2.464563778319819e-11 1.0000000019523076 1.0000000019523076 -1.9136168737206953e-10 1.9148533182605193e-12
2.0 2457403.7694792002 56.0 0.057 0.009248 1.0057105376499758 0.010068892134468233 1.0570380545930766 0.0032050032526924144 0.006153697859833496 0.0008838235944472448 1.071451893649052 0.0024523798928521427 0.0023689853430794083 0.0003445152996033654 1.0745210667834961 1.0745210667834961 0.0018449344976257192 0.00024993949661358724
3.0 2457424.6887153015 47.0 0.041 0.01156 1.0077195789013884 0.006409009339564273 1.023210263262825 0.002526619799185034 0.0022894962387732852 0.0006967503341812562 1.0235183264331233 0.0024808746825024154 0.002168679852527349 0.00034851828006306424 1.0191139815466062 1.0191139815466062 0.0028830031376858036 0.00034716232176683684
4.0 2457447.669282399 59.0 0.043 0.01236 0.9114885608337652 0.008765934741099242 1.119616224517368 0.0016570493316630961 0.014636034884990165 0.0004569540945562213 1.123792273118529 0.0029050186434578587 0.014481648496779147 0.00040810288846808044 1.1640353904735625 1.1640353904735625 0.008050593644902642 0.00021625207815923148
5.0 2457472.735949099 51.0 0.056 0.01094 0.9596143497139786 0.007784448383769177 0.9524444986852366 0.005222225711493551 -0.009477275202724018 0.0014401004005039073 0.9427669547643869 0.005631892917226478 -0.007154618317428377 0.0007911796920491927 0.9183366569979892 0.9183366569979892 -0.003171114224129387 0.0005552404332638336
6.0 2457500.7114120014 35.0 0.05 0.01136 0.9575790080383347 0.00651652163446756 1.0037327654081993 0.0022852429319838 -0.005650778920796484 0.0006301870536458103 1.0147752086255906 0.003398117910498849 -0.00879462780698437 0.0004773744861410259 0.9946209687284547 0.9946209687284547 -0.005648880119383883 0.0003799995747358855
7.0 2457627.149050899 52.0 0.106 0.01442 1.0099971463934483 0.012336424766100298 0.9681906101845715 0.0020308632718779767 -0.005002502044672554 0.000560038407339429 0.9592988568760142 0.002195321156002255 -0.0029835280451233565 0.0003084031687969455 0.9381027848824657 0.9381027848824657 0.00042741632375331573 0.00024779679008018844
8.0 2457718.9526851997 63.0 0.062 0.008352 1.1100753344746055 0.008608570397056642 1.026467788401992 0.0004951455004474041 -8.367410690818582e-05 0.00013654401162993828 1.0244056518592055 0.0008895167297163807 0.0004728465166070458 0.00012496110944870966 1.0234557398915747 1.0234557398915747 0.0006345544850916416 0.00013862340958864196
9.0 2457790.731446799 60.0 0.115 0.01159 1.0162574634523651 0.005906064644995517 0.9963801659340809 0.0017496111562281646 -0.00039630531415790125 0.0004824792881471016 0.9979961954646643 0.0009476616963837028 -0.0009727689594099359 0.0001331294190254127 0.9891204623577667 0.9891204623577667 0.0004372572771643486 0.00010569857492273143
10.0 2457830.6846528016 64.0 0.102 0.0115 0.9542825264973365 0.004370162969735039 1.0171318331520036 0.0016961368268643502 -0.0007912393358822502 0.0004677330107970875 1.0292895733538583 0.003760056830901413 -0.003936398690730982 0.0005282203629860875 1.02504263969082 1.02504263969082 -0.003384810999097945 0.0003914927802793583
