# Epoch JD Elevation T225 RMS Cal_f  Cal_f_err B_5 B_Err_5 m_B_5 B_10 B_Err_10 m_B_10 B_15 B_Err_15 m_B_15 
1.0 2457421.218263902 45.0 0.091 0.01223 0.9606916925620986 0.007591913936993416 1.000000005062856 3.078396375577242e-10 -1.3581576329760068e-09 1.0000000045083655 1.8334252187607876e-10 -6.571008243155036e-10 1.0000000019523076 2.752709833303576e-11 -1.9136168699847266e-10
2.0 2457442.166574098 49.0 0.05 0.01112 1.0207988128578933 0.007806258514795058 0.989788316036776 0.001900173577511072 -0.0035893775037942927 0.979317273349484 0.0013624550339192108 -0.0010610533445621203 0.9699812639659812 0.0007651942471721102 0.000545637219777897
3.0 2457465.1380439997 57.0 0.04 0.01212 0.9404651920834283 0.013879800381690937 1.0398454744505716 0.006803448062267607 0.010916778711028065 1.0640293518731907 0.004929248754181606 0.004779870804196693 1.0908660128844407 0.0031211189468644315 0.0006398347523145235
4.0 2457494.0362153016 50.0 0.04 0.01044 1.103520335867204 0.008767480763218795 0.9614241030249518 0.003497293357427223 -0.016132072610405817 0.9286786584806171 0.0024623239688940373 -0.007657688553890241 0.8960569593910931 0.0018259156199887437 -0.0020164688133657662
5.0 2457529.884687498 35.0 0.077 0.01387 0.9796250535474303 0.007272257206328289 1.0032605187929557 0.0022572061633221365 -0.005193279194696866 0.9980694323284202 0.0014655904790493383 -0.0042215620446908585 0.9780232409085983 0.0011983692969973338 -0.000994214249097866
6.0 2457591.9213426 61.0 0.096 0.01196 0.9788458924873453 0.010333127885845216 0.9754822562985739 0.005043658447971831 -0.007644214215454815 0.9503444211681118 0.003577175537227998 -0.0008418056495965426 0.939744761233807 0.002564992475701558 0.0010548264859716017
7.0 2457627.7081480995 63.0 0.087 0.0111 1.0015163020974538 0.00798446477970723 0.9751400766791438 0.0032733128454982396 -0.013337230153445212 0.9413435963537162 0.0026268428790610907 -0.004600792434039691 0.9162728777537599 0.002058481721494955 -0.00019350054410802964
8.0 2457660.7166781984 63.0 0.094 0.01248 0.9521702916497568 0.009485366962850055 1.0052993100380327 0.003995882839316195 -0.013010956758592113 0.9725929199664732 0.0025979528107170384 -0.004683110713564467 0.9492368510439846 0.0018166144497745922 -0.0007614759712278779
9.0 2457807.154189799 45.0 0.097 0.01019 1.0623664268473898 0.013887387990152444 1.0408732647738088 0.0035029671080492337 -0.005318576821783144 1.0240083219758422 0.0022951350412558596 -0.001091700974566455 1.0088944241678046 0.0016591948828775917 0.0013758983809185744
10.0 2457833.0768286996 41.0 0.066 0.01058 1.0165037951879832 0.00750315395636542 1.0493985596481519 0.004081071083894073 -0.0018614555508113802 1.043814908714591 0.0026986593476275656 -0.0008361306794281939 1.0290309794527115 0.0015322644704657917 0.0015443176068993816
11.0 2457847.0582176 46.0 0.063 0.01018 1.0281683202588836 0.007193906112576777 1.0445456949180951 0.0017868174732658985 0.00017714421940164497 1.0418347120019786 0.0011703489106194662 0.0008035694438355467 1.0399352947386686 0.000805322204045121 0.00113277486387225
12.0 2457861.0236110985 49.0 0.057 0.008945 1.1179315469716435 0.008603151506755452 0.9915994112292589 0.0014003246194676487 -0.010207722762660566 0.975597971693208 0.0014166368750409806 -0.006579001825580568 0.9435835912855157 0.0016791195902452242 -0.0013312301976898303
13.0 2457878.9396180995 38.0 0.046 0.008076 1.1620745109933568 0.009345200008527958 1.0223334948531175 0.0025109448878535864 -0.017156799434303604 0.9919310677722515 0.002200084667916769 -0.01004271779722428 0.9490830007143606 0.0022937322953373524 -0.0032167321214325527
14.0 2457893.1211110987 55.0 0.105 0.01207 1.036332909817546 0.009857873428820857 1.0135024209213772 0.006293025043154625 -0.012277154528625971 0.9916654345546773 0.003456587074225397 -0.007116668450335341 0.9593513785131331 0.0023308147331781723 -0.001954421127937291
15.0 2457906.8700578995 39.0 0.079 0.01011 1.0690494967013913 0.012877398228803464 1.066642672859943 0.005370139757184422 -0.010494381234198338 1.052109206726941 0.0033969756575074643 -0.0073706190931049145 1.0163711548358363 0.0021856011097152934 -0.0019590040345774003
16.0 2457921.0524884015 54.0 0.1 0.01061 1.01435790999261 0.00324685543837283 1.0346952777735883 0.005116247830296137 -0.008558356994264426 1.017160458047422 0.002760552474200056 -0.004234389088738643 0.9990216262834077 0.0017423599861488399 -0.0013753643747748947
17.0 2457939.9728008993 59.0 0.112 0.0112 1.0121676911447361 0.007729410542156686 1.026075315768207 0.0056860813179436505 -0.014353321857051222 1.0007949455126983 0.003170263021619743 -0.008429009457469414 0.9671117722800787 0.0021456846496569924 -0.003129591077407956
18.0 2457955.9226736017 60.0 0.099 0.01033 1.0226416430195615 0.001880563326072722 1.0555476694956794 0.008497492689160372 -0.008703395094375918 1.0406528443392984 0.004685199208276829 -0.005439086363926128 1.01023069967539 0.0028434597936149815 -0.0007447309608071349
19.0 2457975.8875347003 58.0 0.083 0.009289 1.0284669305395888 0.008179075895256823 1.0476941659206 0.0063423805313947024 -0.006707407557916621 1.0424293295933489 0.00324791225986279 -0.005763836932870091 1.0190860291743544 0.002000146626651739 -0.0022366937026035718
20.0 2457990.6915393993 56.0 0.076 0.009021 1.1021902108302246 0.007516309427721522 1.0526359438615247 0.0021838548069661487 -0.011562776535931909 1.0323765296269993 0.0018311806188197296 -0.006943500915784981 0.9999657811116666 0.0015172490064990628 -0.001973804888648834
