# Epoch JD Elevation T225 RMS Cal_f Cal_f_err B_5 B_Err_5 m_5 m_5_err B_10 B_Err_10 m_10 m_10_err B_15 B_Err_15 m_15 m_15_err
1.0 2457378.7284605987 54.0 0.064 0.01182 1.007665695363056 0.015136111838139033 1.000000000028682 inf -2.1811441541785825e-12 inf 1.000000000110588 inf -2.1824764218081327e-12 inf 1.0000000002465053 inf -2.1807000649687325e-12 inf
2.0 2457402.826018501 66.0 0.072 0.009275 1.035233469181242 0.00804343432367687 0.9234378380492589 0.010289854014314249 0.00012702940153297426 0.000679453525471291 0.9348415180946391 0.007000918935820018 -0.0004975278865733612 0.0001197728245149142 0.9178331589501674 0.008109474213174612 -0.00012992904386810444 6.216165567718255e-05
3.0 2457423.7676156983 67.0 0.037 0.0129 0.9585252929018787 0.014201337906007838 1.05616816664939 0.016302739150096553 0.0014184043358898002 0.0010764928461337551 1.084906509520426 0.008852310771573729 -0.0003039642304718537 0.00015144673982763504 1.0747578180721487 0.011044746668815887 -0.00012069273141757997 8.466144104668472e-05
4.0 2457444.7896065004 44.0 0.054 0.01206 0.9591239240279751 0.013335190300611564 0.9596562796225179 0.004139085979321791 -0.0010664605535335436 0.0002733097248811356 0.9546452658852205 0.004293760732568025 -0.0006578345418510878 7.345833680894333e-05 0.9299503764265207 0.006496223698594171 -0.00020713782544623527 4.979558655480794e-05
5.0 2457465.7467245013 39.0 0.048 0.01117 0.9346644184181988 0.017217902750496884 0.999439041555626 0.008405070712655685 0.00015081388389359685 0.0005549980550834681 1.0112916795269802 0.006841680389097993 -0.00037326966735685486 0.00011704855199214097 0.9975110336355785 0.008136115954065293 -0.00010487483369248096 6.236587422193793e-05
6.0 2457495.6792708 35.0 0.036 0.01157 0.9153823738458757 0.0045376634548740255 0.990040775220365 0.011468515949828563 0.000995517291153214 0.0007572824723145355 1.0099545909553966 0.0075786890020302896 0.00029822596820539005 0.00012965741114365665 1.027803136623329 0.009318476544538273 -0.00010285737434334585 7.142903875818408e-05
7.0 2457627.2984954007 39.0 0.082 0.01497 0.9593314527765541 0.017476109515085676 0.9165225262087985 0.008951147918518438 -0.0022027990462600844 0.0005910569886114209 0.8946705304909928 0.006940791909622278 -0.0007381916225435159 0.00011874416664218585 0.877310658489251 0.01068097575467369 -0.0004208567425028876 8.187302060333457e-05
8.0 2457718.7500693984 40.0 0.049 0.009727 1.2118067787257623 0.030727039702483104 0.8434377029478526 0.005758310347207232 -0.002431607817769299 0.00038022940406363335 0.8238323271628482 0.005495517286867455 -0.00128060683164761 9.401817744562257e-05 0.7829955312166736 0.0068392324564336675 -0.0004873347754941252 5.2424856333776504e-05
9.0 2457793.8217592984 46.0 0.089 0.01224 1.0182665947594571 0.024943223387598162 1.1090072781234979 0.010108342004179365 -2.319290220587078e-05 0.0006674694776639928 1.1177968834879937 0.008882175508997463 -0.00046395399291261234 0.00015195766571655115 1.1678599019947902 0.014769461726831353 -0.0013377386758901544 0.00011321254328647702
10.0 2457832.726423599 43.0 0.086 0.01141 0.9668831674482631 0.004334836306396235 0.916498738683815 0.00619667079372089 -0.00177547651682608 0.00040917495465815434 0.905762895895973 0.005997110108012233 -0.001007549564023158 0.00010259950717309203 0.8809198388098981 0.00756627364961855 -0.000523444953396684 5.7997854198292036e-05
11.0 2457929.2097106017 50.0 0.098 0.01175 0.9174100554969291 0.009113209554899712 0.9433278498036001 0.005857332543260523 -0.0007798456443270929 0.00038676797241570643 0.9413953758435573 0.004184829487498818 -0.000572506770602832 7.159472413631193e-05 0.9257147544725148 0.005177684718241244 -0.00028741709109847413 3.968857259074115e-05
12.0 2457967.1258565 57.0 0.089 0.0096 1.0549505065590252 0.00595643591253649 0.882075236661034 0.005416667666631894 -0.0013962405708809467 0.00035767024959902784 0.8773653800951768 0.004059482054999453 -0.0011139835067819348 6.945026015100272e-05 0.8589653389180396 0.006191928644141748 -0.0007270601588398502 4.7463069779892676e-05
13.0 2457999.314675901 30.0 0.043 0.01124 1.221319531034753 0.029949330214957454 0.8142749962976845 0.009276335611287814 -0.0024697443878106727 0.0006125296176538851 0.7972811106027794 0.006496739498560219 -0.0014724086326470813 0.00011114724557722469 0.7521709460964715 0.007338320329991272 -0.0005979159009070756 5.625052038167253e-05
14.0 2458026.926458299 47.0 0.077 0.0107 1.112196238060861 0.02505550490868684 0.9058986618400011 0.004919094131999598 -0.0016945638123564422 0.0003248147492595746 0.898294602179297 0.004267534018245294 -0.0011811480444911448 7.300964574086534e-05 0.8694696941584557 0.005241622880098862 -0.0006373544398536042 4.017867889011891e-05
