# ID Name UT JD Obs Elev Tau225 RMS RMS_unit Cal_f Cal_f_err Offset_x Offset_y
30 SERPENS_MAIN_20180910_00022_850 "2018-09-10 07:23:17.998238" 2458371.807847202 00022 56.0 0.084 0.009402 Jy/bm 1.0208690291111107 0.005719324308346787 1.9047999562932176 -0.01948972519555588
31 SERPENS_MAIN_20180917_00019_850 "2018-09-17 06:23:33.002837" 2458378.7663541995 00019 61.0 0.093 0.009358 Jy/bm 1.0461095872620656 0.00455854726172142 0.511253645659221 2.0603440667159187
32 SERPENS_MAIN_20181002_00010_850 "2018-10-02 05:02:34.998851" 2458393.7101273015 00010 66.0 0.088 0.009415 Jy/bm 1.0544453680955925 0.008932261230097346 1.5898634729613286 1.213334512258868
33 SERPENS_MAIN_20181023_00012_850 "2018-10-23 05:47:49.004166" 2458414.7415394 00012 40.0 0.099 0.01219 Jy/bm 0.986770971710552 0.007380806267527172 -1.0459678423573897 -2.3990435743094896
34 SERPENS_MAIN_20181102_00011_850 "2018-11-02 05:07:22.995679" 2458424.713460598 00011 42.0 0.108 0.01438 Jy/bm 0.9169204225858513 0.011503840419328863 0.09750642720414099 -0.28151385073535984
35 SERPENS_MAIN_20190205_00071_850 "2019-02-05 16:09:55.998645" 2458520.173564799 00071 34.0 0.062 0.009652 Jy/bm 1.1111717627397073 0.006946143170971714 0.5725654868627559 0.7465561407923538
36 SERPENS_MAIN_20190216_00036_850 "2019-02-16 15:36:51.001968" 2458531.1505903006 00036 37.0 0.034 0.00898 Jy/bm 1.1114075843501063 0.005981110781412121 -0.3730097133533863 -0.08975994673510179
37 SERPENS_MAIN_20190226_00065_850 "2019-02-26 15:19:00.998518" 2458541.1382060014 00065 42.0 0.08 0.01073 Jy/bm 1.0462934034452902 0.008420562664253999 -0.3646576352459071 1.8160713423253139
38 SERPENS_MAIN_20190310_00065_850 "2019-03-10 15:22:46.001201" 2458553.140810199 00065 54.0 0.111 0.01286 Jy/bm 0.9700442616863494 0.011825288735824216 -2.2677615015722683 3.160407701562873
39 SERPENS_MAIN_20190317_00062_850 "2019-03-17 14:57:32.999067" 2458560.1232986003 00062 52.0 0.049 0.01033 Jy/bm 1.129373085089556 0.008764233816703921 -1.709276482065847 3.3629908565608932
40 SERPENS_MAIN_20190325_00058_850 "2019-03-25 14:30:55.998838" 2458568.1048148014 00058 55.0 0.086 0.008588 Jy/bm 1.1044698849938377 0.00711842335001588 -1.374598006579453 1.1594063431698478
41 SERPENS_MAIN_20190408_00053_850 "2019-04-08 12:15:31.003118" 2458582.010775499 00053 37.0 0.069 0.01128 Jy/bm 1.1000883162362354 0.010978553254253036 1.5163119268376022 1.1775457874860054
42 SERPENS_MAIN_20190422_00050_850 "2019-04-22 12:41:26.998057" 2458596.0287846997 00050 54.0 0.117 0.0114 Jy/bm 1.0349403955064287 0.007312202485764966 -2.006932188021874 2.6305366709025084
43 SERPENS_MAIN_20190507_00052_850 "2019-05-07 12:27:51.001840" 2458611.019340299 00052 64.0 0.087 0.008613 Jy/bm 1.1589284987064195 0.0071548865294905365 -1.2853688632128177 -1.415512481572246
44 SERPENS_MAIN_20190524_00047_850 "2019-05-24 10:36:36.999335" 2458627.9420948997 00047 56.0 0.112 0.01091 Jy/bm 1.0596261317463713 0.006535648355377495 0.6589429188150575 2.9621144826871504
45 SERPENS_MAIN_20190608_00047_850 "2019-06-08 14:26:16.995885" 2458643.1015856005 00047 43.0 0.122 0.01389 Jy/bm 0.9918103745372108 0.01019333397736521 0.9196929765051036 0.5696801431319454
46 SERPENS_MAIN_20190711_00033_850 "2019-07-11 10:07:25.999539" 2458675.9218286984 00033 69.0 0.058 0.008294 Jy/bm 1.1353974641359597 0.008764116722215996 -2.445811133898541 -3.13000542423843
47 SERPENS_MAIN_20190813_00011_850 "2019-08-13 03:53:49.001355" 2458708.662372701 00011 35.0 0.1 0.01407 Jy/bm 0.9227158550657271 0.009438863015273415 1.8435101873638893 0.032714012113643776
48 SERPENS_MAIN_20190827_00011_850 "2019-08-27 04:22:35.999029" 2458722.6823611 00011 55.0 0.095 0.01058 Jy/bm 1.036866390858067 0.010066157887566068 0.5340328095118815 1.5621213006278367
49 SERPENS_MAIN_20190930_00022_850 "2019-09-30 07:24:52.001188" 2458756.808935199 00022 36.0 0.094 0.01199 Jy/bm 0.9972376658238746 0.010962765973511446 1.7273978145796742 -0.1405434946212574
50 SERPENS_MAIN_20191019_00014_850 "2019-10-19 05:26:36.997547" 2458775.7268171012 00014 48.0 0.058 0.01044 Jy/bm 1.0498315676464096 0.010367754535564126 0.06457894425332729 -0.3176336925698376
