# Epoch JD Elevation T225 RMS Cal_f Cal_f_err JCMT_Offset_x JCMT_offset_y B_5 B_5_err m_5 m_5_err Covariance XCorr_offset_x, XCorr_offset_y
1.0 2457382.8616204 62.0 0.109 0.01162 1.0215580205421393 0.011038462943458014 0.0 0.0 1.000000000028682 inf -2.1811441541785825e-12 inf inf 0.08526294421207581 0.09776781543490642
2.0 2457403.7694792002 56.0 0.057 0.009248 1.0057105376499758 0.010068892134468233 34.0 10.0 1.0658642764093484 0.002099485697696996 0.0009358685520943766 0.00013863201212188094 -2.5272767926344743e-07 -0.7010693607552412 -2.7782046849374638
3.0 2457424.6887153015 47.0 0.041 0.01156 1.0077195789013884 0.006409009339564273 42.0 11.0 1.0264491111757985 0.0016381135045331469 0.0003516113676919064 0.0001081670182157701 -1.5385629112419956e-07 -3.003059294938481 -7.3635765102218045
4.0 2457447.669282399 59.0 0.043 0.01236 0.9114885608337652 0.008765934741099242 19.0 3.0 1.1397175905098484 0.0009074489324063435 0.0022936412032580475 5.992014220310281e-05 -4.721406618411577e-08 -0.7186608286494334 -2.8841750934824972
5.0 2457472.735949099 51.0 0.056 0.01094 0.9596143497139786 0.007784448383769177 41.0 29.0 0.9389482783903685 0.0034075213683487826 -0.0014487018219628833 0.00022500347072394017 -6.657392752318378e-07 -1.9380676725068042 7.760672336967076
6.0 2457500.7114120014 35.0 0.05 0.01136 0.9575790080383347 0.00651652163446756 42.0 29.0 0.9959289247751104 0.0014688826981393984 -0.0008822767745562121 9.699240398580956e-05 -1.2370897439493853e-07 -7.192079510379642 5.702573517121294
7.0 2457627.149050899 52.0 0.106 0.01442 1.0099971463934483 0.012336424766100298 43.0 15.0 0.9612653922895333 0.0013076746761558487 -0.0007797919536691733 8.634761222266183e-05 -9.804522239610432e-08 0.12544217243825528 -4.039046096052061
8.0 2457718.9526851997 63.0 0.062 0.008352 1.1100753344746055 0.008608570397056642 -5.0 0.0 1.0262780612944415 0.00032112257494846077 -7.42393089958604e-06 2.1204304169536864e-05 -5.9125070631861405e-09 0.9706738051241359 0.9291134532161891
9.0 2457790.731446799 60.0 0.115 0.01159 1.0162574634523651 0.005906064644995517 12.0 2.0 0.9959001511726661 0.0011319482279343468 -6.699378144325863e-05 7.474406711342257e-05 -7.34649054549201e-08 0.13544215979862884 -1.4710827375646431
10.0 2457830.6846528016 64.0 0.102 0.0115 0.9542825264973365 0.004370162969735039 1.0 20.0 1.0160418196350718 0.0010978916334502648 -0.00012374472752219035 7.249538061683632e-05 -6.911085451041369e-08 -15.009735431262982 3.0717822083630892
11.0 2457864.6869212985 45.0 0.09 0.01455 0.859943954039193 0.017075547947895096 43.0 30.0 1.0326121281278189 0.003221511902880745 3.944944836842268e-05 0.00021272142117422936 -5.950417594698837e-07 -6.59671937974295 7.114307418159569
12.0 2457943.2875810005 53.0 0.047 0.0097 1.16282407922761 0.01097549867046873 45.0 15.0 0.9464507319669441 0.0015260488640775228 -0.0005351439150915738 0.0001007671737771535 -1.3352540280489544e-07 0.3220773982274636 -5.138112904611546
13.0 2457978.135555599 39.0 0.072 0.01007 1.01240418515657 0.019262302716398845 27.0 -8.0 1.0802814491732398 0.003194059789842887 0.0004217156501983288 0.00021090837100652497 -5.849425714193914e-07 -6.477948378128474 -13.928022057443144
14.0 2458009.0968634 49.0 0.097 0.01036 1.0399720985417604 0.015054707831021657 45.0 14.0 1.037754078398376 0.002222808728299746 0.000237991525172343 0.00014677511293506538 -2.8328973754380817e-07 -1.5377919372139957 -5.113446387090363
15.0 2458048.0762384012 64.0 0.089 0.008819 1.0841999544663867 0.006401463420460016 -15.0 11.0 0.9506765417546322 0.001021051328412381 -0.000875202030879138 6.742146412700461e-05 -5.97753502628506e-08 -8.979581244788932 3.1568000992473912
16.0 2458075.994699098 64.0 0.057 0.01036 1.1031726107806947 0.00878358219608352 -21.0 6.0 0.954117480657219 0.0006952418270193092 -0.0010150980234953089 4.5907802396135124e-05 -2.7713971568870295e-08 -6.927340354339265 2.6731564194128907
17.0 2458112.0017361008 47.0 0.071 0.01008 1.016286522461985 0.00804968515964019 40.0 28.0 0.9205912933473016 0.0035621122985285384 -0.0016975776211101347 0.00023521134080045948 -7.275154906746662e-07 -13.39296108001156 7.997025527420135
18.0 2458157.839837998 56.0 0.087 0.008906 1.085390918137495 0.01165581712802095 38.0 29.0 0.8992912505829699 0.0035941135913450037 -0.0018571429685028118 0.0002373244114561447 -7.406458588429294e-07 -10.242854336922932 8.511040988376834
