# Epoch Name                       JD                 Elevation T225  RMS      Steve_offset_x       Steve_offset_y       Cal_f              Cal_f_err            JCMT_Offset_x JCMT_offset_y XC5_offset_x        XC5_Offset_x_err XC5_offset_y        XC5_Offset_y_err XC7_offset_x       XC7_Offset_x_err     XC7_offset_y        XC7_Offset_y_err    XC9_offset_x       XC9_Offset_x_err    XC9_offset_y        XC9_Offset_y_err    XC11_offset_x       XC11_Offset_x_err   XC11_offset_y       XC11_Offset_y_err   BA5                BA5_err            MA5                 MA5_err            BA7                BA7_err            MA7                 MA7_err            BA9                BA9_err            MA9                 MA9_err            BA11               BA11_err           MA11                MA11_err           AC5_amp            AC5_amp_err AC5_sig_x          AC5_sig_x_err AC5_sig_y          AC5_sig_y_err AC5_theta            AC5_theta_err AC7_amp            AC7_amp_err        AC7_sig_x          AC7_sig_x_err       AC7_sig_y          AC7_sig_y_err       AC7_theta            AC7_theta_err       AC9_amp            AC9_amp_err        AC9_sig_x          AC9_sig_x_err       AC9_sig_y          AC9_sig_y_err       AC9_theta            AC9_theta_err       AC11_amp           AC11_amp_err       AC11_sig_x         AC11_sig_x_err      AC11_sig_y         AC11_sig_y_err      AC11_theta           AC11_theta_err      ra_offset             dec_offset            length_scale       flux_cal          
  1     NGC2071_20151226_00052_850 2457382.994213     51.0      0.116 0.01373  0.0                  0.0                  0.9471906545541439 0.01021528188162118  0.0           0.0           0.0                 -1.0             0.0                 -1.0             0.0                0.6493408469436422   0.0                 0.7738178354690133  0.0                0.3264599413378723  0.0                 0.3966592828601833  0.0                 0.2547480223866357  0.0                 0.31035784402401    7524.054077889249  43.48580092877385  -203.62349380855662 16.436087403865855 7512.696826266288  36.620067623214126 -191.1654591032222  6.592365588129566  7377.519030397579  42.911851837981004 -160.4562447794587  4.6774289151285835 7143.1506445275145 48.01583963340006  -126.26809570830699 3.170553986952445  7542.959350031712  -1.0        3.9654653194661766 -1.0          4.478830808053743  -1.0          0.09366720874229287  -1.0          7448.66343439396   211.16712145984079 4.702690465483533  0.4984377489665505  4.1857013915534536 0.3569350107070411  1.6633081867064838   0.40166484985441653 7342.799901517666  134.76858308571482 4.3661106612734795 0.1703387047945023  4.943930314336659  0.23988393551698384 3.2266762058691394   0.18109849819066415 7165.648616418304  164.46256633633084 4.626220833810792  0.18285329775602832 5.258184480870654  0.2562525004267911  3.222202695274148    0.1848077971720768  0.0                   0.0                   0.9986716322250908 1.0756137560941275
  2     NGC2071_20160116_00027_850 2457403.8473958    70.0      0.058 0.008191 1.6019927306243988   -2.602622362678151   1.1349812931189591 0.008953868014312258 -3.0          -4.0          -3.0463764209858084 -1.0             -3.7414733363018797 -1.0             -3.065514543935194 0.06116078424623357  -3.7433408735387275 0.07612179060225986 -3.091418577440294 0.07216939541608897 -3.7469264205749937 0.0883788460499219  -3.1211628003811143 0.09537306555124517 -3.7485778312545506 0.11589611189085774 7019.851724608578  28.173297976124278 -168.88646404641858 10.64850586251714  7005.940465962751  25.30376827993385  -168.80486711896683 4.5551988103744945 6903.653623548203  32.719070237058766 -146.86129424331585 3.5664069440005313 6704.072903100248  38.95905375548794  -118.820297745574   2.572521599551128  7042.53934295551   -1.0        4.498329874037043  -1.0          4.100782214060933  -1.0          4.578665429715551    -1.0          6998.309196126723  89.0700435208803   4.605216260293864  0.21014319973509152 4.216951814035844  0.16335006340900984 4.593229385370116    0.23887965501455583 6889.617804406387  99.46679690610159  4.417449513929243  0.1381216750906458  4.865119343345336  0.1800869587749956  3.035593897961448    0.18418263231036297 6752.168318203429  127.84231004162952 4.622633136705688  0.15070136860113112 5.1211877832436725 0.19701038243484914 3.0366336644073506   0.1888715483529299  -0.13912926295742523  0.7755799910943608    0.9960350637360331 0.9550626296265289
  3     NGC2071_20160206_00015_850 2457424.720509298  58.0      0.046 0.01115  -0.4813157678151424  -2.7103028051921987  1.0805708051990652 0.01615696588412716  9.0           -14.0         8.801821797383894   -1.0             -13.65038091747141  -1.0             8.791411027592488  0.061643206028742986 -13.64502809873855  0.07510307078974225 8.775998454262094  0.07134318238452261 -13.64233691093088  0.08571172100207405 8.755583725477038   0.09513896090998775 -13.637913084882825 0.11378157174787722 7101.372346078862  32.44778202946157  -169.502369463121   12.264108192776488 7102.464068879186  21.942878041513083 -177.2655492905157  3.9501695586574668 6990.222538536977  30.17247735860567  -153.67089136130232 3.2888260786312884 6768.9745014800465 38.24773561721526  -122.12176323717735 2.5255522159281547 7132.2672121973455 -1.0        4.14788243868845   -1.0          4.329353770789616  -1.0          3.3945248151207936   -1.0          7092.973913988202  118.58838040862803 4.203831925209364  0.21099913434996712 4.4312301043399325 0.2449437272261526  3.3312475275444524   0.5297297738489769  6967.871929601009  115.861938358694   4.428314650911065  0.15986683728699727 4.721415003292381  0.1904000618284643  0.14360512442102458  0.31864318484516374 6818.430777261336  144.04269521211896 4.635051486713216  0.169581610064447   4.99284921870987   0.20579596647614384 0.1120197298980985   0.287203687407606   -0.5945346078483169   1.0488572475857723    0.9784898999880686 0.9738996367447988
  4     NGC2071_20160229_00013_850 2457447.6876735985 65.0      0.042 0.01245  -0.5324638613990544  -0.43354362831905124 0.9874808817072847 0.009757680828944496 9.0           -10.0         8.575759399020058   -1.0             -9.897534007197919  -1.0             8.560417644719593  0.0738602203776339   -9.897854342753703  0.08450940338819354 8.544126978541442  0.08294298715213731 -9.891903981465731  0.09831564603354591 8.519308938929726   0.10301633859552621 -9.886828495905434  0.12404792158361727 7465.83042150403   29.894810646963077 -230.76944803865922 11.299176791042303 7353.081802627623  36.104597613123616 -180.71509818680326 6.499570299891743  7206.9565492103975 42.127419433726246 -148.33931993867836 4.591925092602332  6992.381255707398  45.123703501070096 -118.30188303714222 2.979582128302682  7439.688968505458  -1.0        3.9743165289339477 -1.0          4.241366615312208  -1.0          2.926492979487717    -1.0          7307.953694898671  171.49541704392797 4.693344491364914  0.40512779207635885 4.280443037508163  0.3115188585807645  4.544254167816893    0.44498052193165893 7167.013916125678  141.91615080679233 4.529515291618966  0.20078517949579858 5.0510576252928265 0.2710232250041382  6.128780555149078    0.23849822348246622 6995.124494076917  160.83345890061753 4.790219073156332  0.1984729423096063  5.418954456347658  0.2751308431051944  6.1497259286804615   0.2029286830737423  -1.2727218029398273   0.30739797840624306   1.0434219721220748 1.0250291794434885
  5     NGC2071_20160329_00011_850 2457476.7037499994 62.0      0.056 0.01045  0.28223490831094245  -2.068152014542335   0.9927699307795625 0.005802126442055415 1.0           0.0           1.097948516965232   -1.0             0.08048262350629898 -1.0             1.0922927567298757 0.05960688892056287  0.08233644872655077 0.0746474865145823  1.080387424378273  0.0754911340467987  0.08549063724166217 0.09404738013385128 1.0697785779851188  0.0981216706618592  0.08691602947726551 0.1213510208196994  7436.5397069824485 43.404941308671546 -194.55119517654288 16.40552541828039  7410.766747004     34.12210642839896  -182.8072019905423  6.1426812483175395 7287.4925055844205 41.161429161624405 -155.17794494791096 4.486631293954243  7063.171626650572  46.263427412150435 -122.95384842618812 3.0548397376399676 7449.714825774533  -1.0        3.98530752008522   -1.0          4.5438584815503535 -1.0          0.08555174498073485  -1.0          7367.20497459948   150.17881322518252 4.746622365427872  0.3682664015160137  4.195664882372021  0.2584240894880643  1.6533887580389006   0.27402766247691385 7253.632797203746  118.78229463316978 4.408693577237071  0.15570163742521584 4.9986854792046325 0.22020589947496572 3.2329783339636795   0.1624420202067061  7084.066194663829  154.11704117977143 4.665895890743067  0.17671252142651053 5.30810297355864   0.24836940796136936 3.2378895435308555   0.17644944869034718 0.2938455508956963    0.24144787051889693   1.0141079045422616 1.0512610011820793
  6     NGC2071_20160427_00013_850 2457505.715937499  34.0      0.052 0.01617  1.726890203174825    -1.2723321959666767  0.7709916190428434 0.01499842404734341  4.0           -2.0          3.7125090686057263  -1.0             -1.9527647449133099 -1.0             3.7305735544605056 0.06318977735294486  -1.9482904175502256 0.08760401194123346 3.7519926202036515 0.06898817607778249 -1.9440696700299043 0.09589625482431728 3.7742565879664767  0.08619766112053592 -1.9426423631440741 0.11930197353471408 8609.475017379747  111.82490210184703 -82.05431075535397  42.265840159220666 8790.82802443962   82.6515378422631   -175.77134881206896 14.87897749586079  8685.318725996389  79.84265867785422  -155.29016142654692 8.70291878829513   8469.696986373641  74.93777126104509  -123.42957771163717 4.94824735050213   8735.116326235297  -1.0        4.453964728899421  -1.0          6.142544471316868  -1.0          6.255750572605092    -1.0          8772.100294958285  243.73615172906412 4.358461510797643  0.3895018735391691  5.583141075435469  0.7994416391179924  6.260367150335607    0.21432546287760434 8626.69652461713   168.80940639635622 4.6672421120570045 0.21429713153390337 6.047408356321895  0.44619679893380715 6.265525569183519    0.11008104145391723 8480.052756886582  172.11690104601743 4.902943851051236  0.18446435915907952 6.332362830964216  0.37169048866477983 6.268839608492237    0.09386790443315463 -0.8624727941828212   0.1417057652600704    1.2113654013213653 1.5064074005477879
  7     NGC2071_20160827_00053_850 2457628.1033102013 42.0      0.083 0.01209  2.1641884619276914   -1.3801239117745112  0.9689330616589789 0.007792375307330733 5.0           -18.0         4.926916087665347   -1.0             -17.790608016255277 -1.0             4.92421846654031   0.051384770636072746 -17.778655293703054 0.06595959474541316 4.921000330268214  0.06265889635750109 -17.75578773269129  0.07979458139764972 4.917899110907456   0.08382937665402686 -17.733254508022384 0.10583530659884278 7376.160531409722  38.88966388848724  -190.9566141578632  14.698912008239617 7347.157866349027  39.11083142205349  -175.02517919878144 7.040754252319152  7233.395775472175  45.23044793898382  -149.55973042996646 4.9301578362731036 7036.572647368864  48.030395882381384 -121.49153643757408 3.1715151962879697 7384.016010550516  -1.0        4.048936839802273  -1.0          4.649706477036029  -1.0          3.422928660022069    -1.0          7316.170569562297  131.9664137338736  4.861244683920648  0.33880250066278295 4.209781606078127  0.22542962250050677 1.8084767584662398   0.23324650431626373 7223.603216884097  100.03138657277812 4.38921374991087   0.12843564900315338 5.076270923111787  0.19082447649570594 0.2020534026181231   0.12591247423439286 7085.285037419689  127.71476326505025 5.339221363919807  0.2071789431275153  4.595658811101991  0.14016794178822306 1.7387828376760037   0.12830057484924734 -0.21925173700395817  0.6281759512341694    1.022449075707651  1.051622779869332 
  8     NGC2071_20161120_00088_850 2457713.122569401  41.0      0.093 0.01258  1.794877876428494    -3.5505659649635963  0.930382821734464  0.017701070091333974 2.0           1.0           1.813123477928002   -1.0             1.0860872112618551  -1.0             1.8205995150806018 0.05670927900882685  1.0956554375762266  0.07516002167024381 1.8251183811630654 0.06572166455215478 1.1057726690463596  0.08683550964967753 1.8266891595158086  0.08655748286565353 1.1162858591180793  0.11321332711256786 8100.385622786568  65.47372192214767  -207.86385624849453 24.746740400891298 8052.524640826324  53.760648537074935 -190.21752354683719 9.67802290257974   7922.099049688546  59.70437336803224  -161.08257964554414 6.507828173019817  7701.0004706657255 60.15183967877542  -129.47075259517777 3.971911282655715  8104.113923291724  -1.0        3.9540075337955987 -1.0          4.761819401196444  -1.0          6.229408349825352    -1.0          8014.8292849186855 132.8821845891697  5.029293475472921  0.3542852662150563  4.161094270348146  0.2051827253879893  1.52593717830224     0.14900246190752134 7894.87635213076   116.35720455140053 4.379993445111154  0.13750240756654167 5.301910703202065  0.23397195154309447 6.247970157058425    0.09826754378027355 7738.25841178159   145.1235792457735  4.609961485382744  0.1475774478632182  5.577645692542065  0.24535657263088406 6.259565262453321    0.10384957323590999 -0.5606295662159937   0.25826163378556544   1.0500307383457548 1.254387706954645 
  9     NGC2071_20161126_00056_850 2457719.0034837984 69.0      0.063 0.008619 -1.5627207861157628  3.2498777732713235   1.1255621964425877 0.007554022320365615 1.0           -4.0          0.9948628784084121  -1.0             -4.00161325824385   -1.0             0.9833249494637926 0.05860401825294078  -4.003456693383555  0.07262312970017541 0.9671833465128259 0.07258732087764068 -4.007598261564027  0.08986507076336644 0.9480657928935443  0.09570124820672905 -4.015351062993432  0.1183093320494582  7052.538872668251  32.21360745809115  -171.8047560105994  12.175599567584097 7025.051443336918  31.265789991072975 -169.02750837513892 5.628485578543261  6915.822300372528  38.425929373437825 -145.71925624426538 4.188459434555072  6712.189163728587  43.493723143728076 -117.31986673753212 2.8719522320175064 7067.311888783614  -1.0        4.074767698525266  -1.0          4.501499648110211  -1.0          6.246697840896598    -1.0          7015.681154257747  98.8509452465911   4.188748379042907  0.17854758536780335 4.6649222126984435 0.24329285004073609 6.264553797180032    0.210830513066683   6892.057004594946  112.75554517050286 4.411801580621484  0.15641129916811478 4.975710703691402  0.21823296642227144 6.270405920917487    0.16653967802254652 6750.34273343348   134.73588272787512 4.619680425392944  0.15878522943890233 5.260253126856456  0.22386408262612317 6.273630881470663    0.15690459678355462 -0.01541136477476357  -0.004839774731550506 1.0099948553130924 0.9545462585862353
  10    NGC2071_20170206_00017_850 2457790.6952893995 51.0      0.113 0.01224  2.757324983851864    -0.7384976774802409  1.0611367357621113 0.012926544528953346 9.0           -17.0         8.884440396110648   -1.0             -16.67088583858029  -1.0             8.87024201793244   0.060655076024163264 -16.66747909017508  0.07498570016144966 8.850347326987531  0.07109033629089773 -16.665648513732293 0.08627881127011011 8.823963955353776   0.09643946266288966 -16.660126670675396 0.11601930034826653 6801.922650064587  41.85477813986952  -157.61328771056864 15.819618558675721 6803.022663600009  34.12407121908444  -173.72931436012377 6.143034873266222  6680.553444555319  37.05699534039396  -148.5006282517143  4.0392445105958075 6465.737593800511  40.02482492428535  -118.40845177106056 2.6428959755774657 6835.9598661442    -1.0        4.306845291869142  -1.0          4.050201431373415  -1.0          4.945976802526674    -1.0          6800.782839080675  145.13930509418023 4.381782035919895  0.3057704737281408  4.111516821651044  0.2552208839492813  4.859596095436977    0.5309111686908693  6662.03487151111   132.05683479782806 4.373223842993469  0.18521082832598307 4.69095970364602   0.2243411161259419  3.2492276420921913   0.33769033827905826 6520.224839779545  143.91487114273627 4.579518839144906  0.17261504526643195 4.948150914641725  0.21118223302422665 3.2106178529746674   0.28189320758764574 -0.34667881166805614  0.9873424842591305    0.9639664253447678 0.8905749521341056
