# Epoch Name JD Elevation T225 RMS Steve_offset_x Steve_offset_y Cal_f Cal_f_err BA BA_err MA MA_err Covariance_div JCMT_Offset_x JCMT_offset_y XCorr_offset_x XCorr_offset_y BD BD_err MD MD_err
1 IC348_20151222_00019_850 2457378.7284605987 54.0 0.064 0.01182 0.0 0.0 1.007665695363056 0.015136111838139033 2168.3491662176584 21.67565427574995 -34.21309816075226 1.4312741946523804 inf 0.0 0.0 0.0 0.0 1.000000000028682 inf -2.1811441541785825e-12 inf
2 IC348_20160115_00022_850 2457402.826018501 66.0 0.072 0.009275 2.658641363014307 0.9132131999490412 1.035233469181242 0.00804343432367687 1999.8399027048981 17.417275395220035 -31.391619007564415 1.1500873968480692 -6.07079185853345e-06 -6.0 6.0 -5.911061323284656 6.150442129175332 0.9234378380492589 0.010289854014314249 0.00012702940153297426 0.000679453525471291
3 IC348_20160205_00018_850 2457423.7676156983 67.0 0.037 0.0129 2.3521606140109976 4.049147843757623 0.9585252929018787 0.014201337906007838 2292.058279137096 26.389396038598875 -34.31111252570258 1.7425292499467586 -1.5238707277188157e-05 -8.0 6.0 -7.942993523342949 6.01801611925697 1.05616816664939 0.016302739150096553 0.0014184043358898002 0.0010764928461337551
4 IC348_20160226_00020_850 2457444.7896065004 44.0 0.054 0.01206 2.8278901815670507 3.9827849026082163 0.9591239240279751 0.013335190300611564 2076.4196323104848 17.1378072279346 -34.25416695918802 1.1316337173688353 -9.822814017718735e-07 -3.0 13.0 -3.0761564981644653 13.17152680123695 0.9596562796225179 0.004139085979321791 -0.0010664605535335436 0.0002733097248811356
5 IC348_20160318_00027_850 2457465.7467245013 39.0 0.048 0.01117 5.346806617099271 0.7814110806299368 0.9346644184181988 0.017217902750496884 2166.1567087672297 15.416913173078228 -34.06801232965336 1.0180006387199954 -4.050504263904563e-06 -1.0 14.0 -0.8865399161401513 14.113882399314576 0.999439041555626 0.008405070712655685 0.00015081388389359685 0.0005549980550834681
6 IC348_20160417_00009_850 2457495.6792708 35.0 0.036 0.01157 2.9824114826342885 4.2648744612091605 0.9153823738458757 0.0045376634548740255 2148.8827633632586 19.406135533328037 -32.66998280552123 1.2814146464923764 -7.5412187353794875e-06 -2.0 14.0 -1.8248085320129803 13.78536134715651 0.990040775220365 0.011468515949828563 0.000995517291153214 0.0007572824723145355
7 IC348_20160826_00040_850 2457627.2984954007 39.0 0.082 0.01497 4.374097812829757 -0.6364816648087412 0.9593314527765541 0.017476109515085676 1978.5786812226886 28.397627081375838 -34.052497504995245 1.8751356137671056 -4.593931006943803e-06 -2.0 15.0 -2.0968080424663924 15.21357010162464 0.9165225262087985 0.008951147918518438 -0.0022027990462600844 0.0005910569886114209
8 IC348_20161126_00022_850 2457718.7500693984 40.0 0.049 0.009727 4.673272001758877 0.09634955897865893 1.2118067787257623 0.030727039702483104 1819.5169439583094 15.700871772101467 -32.055994728048255 1.036750843027278 -1.9011533469903148e-06 2.0 -2.0 1.6418236092372922 -2.187135404683488 0.8434377029478526 0.005758310347207232 -0.002431607817769299 0.00038022940406363335
9 IC348_20170209_00028_850 2457793.8217592984 46.0 0.089 0.01224 3.0589107372645903 4.018197914165 1.0182665947594571 0.024943223387598162 2404.096647435109 21.965076931109678 -38.076096988600234 1.4503852017654981 -5.858512080062925e-06 -4.0 13.0 -3.7418163131738993 12.832028815057697 1.1090072781234979 0.010108342004179365 -2.319290220587078e-05 0.0006674694776639928
10 IC348_20170320_00019_850 2457832.726423599 43.0 0.086 0.01141 4.3869227943236195 4.506460496000955 0.9668831674482631 0.004334836306396235 1981.6428226605826 19.286368436742666 -33.772704152128476 1.273506273828459 -2.2016275100585586e-06 -2.0 14.0 -1.8580227443702881 14.126644033808162 0.916498738683815 0.00619667079372089 -0.00177547651682608 0.00040917495465815434
11 IC348_20170624_00025_850 2457929.2097106017 50.0 0.098 0.01175 3.7663438047542193 2.766725794378999 0.9174100554969291 0.009113209554899712 2043.265952895634 13.992993963853317 -33.481796901921804 0.9239772451130962 -1.967101448512741e-06 2.0 -2.0 1.9074636162379761 -1.8042264698375448 0.9433278498036001 0.005857332543260523 -0.0007798456443270929 0.00038676797241570643
12 IC348_20170801_00044_850 2457967.1258565 57.0 0.089 0.0096 2.928025636822698 1.0892043836207677 1.0549505065590252 0.00595643591253649 1907.210742404739 12.744986890873346 -32.1003741746653 0.8415695652805121 -1.6822532537280205e-06 1.0 0.0 0.9945212253443287 0.04223180120033021 0.882075236661034 0.005416667666631894 -0.0013962405708809467 0.00035767024959902784
13 IC348_20170902_00071_850 2457999.314675901 30.0 0.043 0.01124 2.3926220475973694 3.215442455851303 1.221319531034753 0.029949330214957454 1752.2683912287932 15.728300909070994 -30.886070458432908 1.0385620179448078 -4.93378162936071e-06 -1.0 15.0 -0.9421191987360373 14.94934890481693 0.8142749962976845 0.009276335611287814 -0.0024697443878106727 0.0006125296176538851
14 IC348_20170930_00038_850 2458026.926458299 47.0 0.077 0.0107 4.435999564004682 0.8577189231169768 1.112196238060861 0.02505550490868684 1957.9718715196573 15.472823810470539 -33.27551424275751 1.0216925006142883 -1.3873858243695106e-06 2.0 -1.0 1.9438838438723565 -0.8475770184995497 0.9058986618400011 0.004919094131999598 -0.0016945638123564422 0.0003248147492595746
15 IC348_20171030_00026_850 2458057.1325000003 38.0 0.103 0.01535 2.0024271682610544 5.838963434817401 1.0158012504017562 0.0327925624249094 1866.7995052846313 21.9205089217377 -33.4699612993175 1.4474422953041326 -6.546853849834925e-06 -2.0 13.0 -2.0097208671402598 13.167259097438034 0.8675559501900385 0.01068569619300847 -0.00304160094440527 0.0007055916678940716
16 IC348_20171208_00025_850 2458095.777453698 57.0 0.101 0.01007 1.1509940989658265 0.7427495428891007 1.0843864250269293 0.027402566934724107 2024.8641503896295 14.007190034964122 -33.833892911408235 0.924914623818248 -1.7988786947216486e-06 3.0 0.0 2.9493313189971104 -0.06571847495817451 0.9363478879730982 0.005601282002393227 -0.001320164432652815 0.0003698605968740634
17 IC348_20180111_00013_850 2458129.704432901 63.0 0.098 0.009842 4.613792180107802 0.8163106896702743 1.05483477905428 0.020415278086043865 1982.8384357828704 17.50825183650002 -33.62879592322603 1.1560947077200798 -2.893065132333229e-06 1.0 -2.0 1.0557979830626039 -2.048423560353342 0.9160988671228631 0.00710338897833242 -0.0015562960228650002 0.0004690468515259691
18 IC348_20180209_00013_850 2458158.7866897993 56.0 0.091 0.00899 2.2299690170435684 0.5103311627962626 1.1299840237305272 0.016785315445336554 1971.123876493484 15.35649972614654 -32.53817202543534 1.014011457721672 -4.101040549741791e-06 -5.0 11.0 -5.090388820114043 11.122902748473848 0.912038033527135 0.008457334971892733 -0.0010570620738172831 0.0005584498250744419
19 IC348_20180311_00012_850 2458188.7374305986 48.0 0.101 0.01181 5.601078057731055 2.2763581371876285 0.93148276809353 0.021298201330618216 2011.0201246851354 20.009772677745406 -34.13115679208688 1.3212736633006446 -3.3519667661307452e-06 -3.0 12.0 -2.8767534664230254 11.816419089030006 0.9304265157745703 0.007646036219789667 -0.0017306204599143449 0.0005048786140954
20 IC348_20180906_00025_850 2458368.2289352007 52.0 0.114 0.01218 3.496291640146389 -1.0680923288305166 1.118525432693328 0.03092653796947889 1933.2903788369015 20.17023567632611 -32.57808990668614 1.3318692722999808 -3.526068071359067e-06 -2.0 16.0 -1.9327904980708581 16.202080645181866 0.8957502217028538 0.007842090213644282 -0.0016258583011106165 0.0005178243605709827
21 IC348_20180906_00031_850 2458368.2741781995 39.0 0.11 0.01484 2.3987298259423766 -4.3439371182699915 1.0623955960806069 0.04757405087792129 1914.5602124455409 16.174330087889025 -33.48015959855814 1.0680139628401366 -1.5340463290644963e-06 1.0 0.0 0.8545061571810209 0.11433953489921578 0.8868087543849109 0.005172562287316082 -0.0023465315397063636 0.00034155163085776874
22 IC348_20181004_00032_850 2458395.897766199 39.0 0.1 0.01086 1.6602120517064194 -0.6732910253731461 1.1515569960455534 0.04889527258633885 1867.0825352226916 15.364105736717361 -32.063507887337146 1.0145136982107266 -1.796595388251379e-06 1.0 -1.0 1.0376918590966113 -1.1278587293555518 0.8645292470562811 0.005597726062127119 -0.0018835097042473326 0.0003696257834257081
23 IC348_20181102_00026_850 2458424.8409722 49.0 0.102 0.009569 3.002091682678639 1.5164441412196084 1.128606897613619 0.04646195988537709 1836.728978665467 16.043929630969526 -31.598914277208102 1.0594034376663393 -2.2515201869271615e-06 1.0 -3.0 0.9810596329749046 -2.978953794585692 0.8509624467557748 0.006266491136880894 -0.001933565335686005 0.0004137852800744386
24 IC348_20181203_00029_850 2458455.7231481 36.0 0.063 0.008093 4.012779929707629 2.9217274579366403 1.2041026311459557 0.047114195975759166 1952.294089624513 15.300890176606812 -32.690507028985145 1.010339484861847 -2.1096989030070183e-06 2.0 0.0 1.9254020721017753 0.04907700514959856 0.9031131425072688 0.006065920719099137 -0.0013553306892262196 0.00040054135733136635
25 IC348_20190103_00014_850 2458486.698275499 56.0 0.072 0.008883 4.177256623040858 -1.075359594783265 1.1289059491130808 0.02849056052209625 1915.8348089170613 15.311331455051999 -31.77107258516171 1.0110289392256586 -3.964983064268178e-06 -4.0 10.0 -3.9889319512764416 9.969670613493179 0.886720654050464 0.00831585992070912 -0.0011457142304940326 0.0005491080228812965
26 IC348_20190209_00023_850 2458523.791342601 58.0 0.053 0.008048 5.192161499327217 0.8827842935716035 1.0955774050671587 0.0314341136500351 2147.578917404747 19.659929733616913 -35.87636861664661 1.2981730433698935 -2.729280084563559e-06 -3.0 15.0 -3.0634779976478796 15.09139693801842 0.9922146933329415 0.006899387695343467 -0.001358633319522573 0.0004555763571385122
27 IC348_20190310_00021_850 2458552.762164399 43.0 0.088 0.01251 3.053897287439552 2.048964608843562 0.895188145511681 0.03229429370659915 2579.968121800383 31.000494625567125 -41.74570799684609 2.047006634894817 -6.65370298667858e-06 -2.0 16.0 -1.8904553603064471 16.30265004664429 1.185580052579808 0.010772541696787732 -0.00028270660304596795 0.0007113262617017307
28 IC348_20190411_00011_850 2458584.6806597 40.0 0.111 0.0188 2.933911833155338 -2.824252955491602 0.7654052189468795 0.03411116330657447 1991.852255632785 19.023806804273647 -34.84967644980149 1.2561689388374233 -2.033154414627181e-06 1.0 -1.0 0.8281636954010025 -1.0804396715017504 0.9223104914079737 0.0059548616539348755 -0.0024471926928508747 0.00039320796725648147
29 IC348_20190712_00037_850 2458677.133749999 44.0 0.118 0.01234 2.7322081228141752 -1.6388178267746412 1.0770667906359506 0.03334687057096391 1875.2059244802313 16.03815344167595 -32.42463364967077 1.0590220116545255 -1.5859312281836282e-06 1.0 -1.0 0.9803853200546087 -1.0391510859228674 0.8683032001165792 0.005259308707222825 -0.002043594498046586 0.0003472796276370162
30 IC348_20190812_00080_850 2458708.0774769 52.0 0.107 0.01008 1.0656012282056775 1.9251675548957792 1.1103867005451298 0.035420181832588944 1872.2980112528028 16.087861418078234 -32.07399816588677 1.0623042986415017 -2.3884443195874824e-06 1.0 -3.0 0.9185865532919593 -3.2361848070029566 0.8667991892854429 0.006454224327765769 -0.0018248598782521041 0.0004261815926072164
31 IC348_20190909_00049_850 2458736.053796299 67.0 0.065 0.008953 4.8323566482835885 0.6244688803988652 1.15884590870095 0.024803308040494805 2049.3602876303094 18.01382907900545 -33.04572110829495 1.189478711456764 -2.5636349887244382e-06 0.0 -2.0 0.2804836831434159 -1.9446756128011202 0.9463660200001509 0.006686742460837003 -0.000494898849623393 0.0004415350769035542
32 IC348_20191009_00032_850 2458765.9620948993 64.0 0.096 0.01013 2.361102900153953 2.7749854223770853 1.0343429435763982 0.026478601040714207 1870.1741607415277 17.60971475162579 -32.94385209346021 1.1627944518242692 -2.2296126355495605e-06 1.0 0.0 1.075960709265587 -0.09772909560521725 0.8666268444668497 0.006235929740965584 -0.002486988799206946 0.00041176726986735606
