# Epoch Name JD Elevation T225 RMS Steve_offset_x Steve_offset_y Cal_f Cal_f_err JCMT_Offset_x JCMT_offset_y XCorr_offset_x XCorr_Offset_x_err XCorr_offset_y XCorr_Offset_y_err BA BA_err MA MA_err AC_amp AC_amp_err AC_sig_x AC_sig_x_err AC_sig_y AC_sig_y_err BD BD_err MD MD_err 
11 OMC23_20170421_00022_850 2457864.6869212985 45.0 0.09 0.01455 4.736854246501134 -3.855379994964609 0.859943954039193 0.017075547947895096 -7.0 8.0 -6.736225242786219 0.7560889124585971 7.719498396849701 0.8434089101821834 64724.40192488754 507.6223234497684 -323.7097642212562 7.315168579517814 73231.02906153897 1188.1412902017714 6.246316940839852 0.2565214996489324 7.5625588170363915 0.4267639128065603 1.0384788248107755 0.003574137750559192 -0.0002125923666584928 5.150565140786706e-05
12 OMC23_20170708_00073_850 2457943.2875810005 53.0 0.047 0.0097 6.271018693986662 -3.3967653429863187 1.16282407922761 0.01097549867046873 0.0 -6.0 0.06931482320251803 0.7286806447059405 -5.872634699168742 0.7764860084907949 58602.8823388505 544.528299119614 -290.7316716806648 7.847007741934716 66917.29503081342 1228.209384930311 7.892840257235053 0.5892540193332585 5.9296352342701635 0.2653893558500659 0.9368540384471641 0.0018430608878123248 -0.00011853670037464958 2.6559708935915436e-05
13 OMC23_20170812_00056_850 2457978.135555599 39.0 0.072 0.01007 4.3578464978232505 -0.4271670158193323 1.01240418515657 0.019262302716398845 -5.0 -10.0 -4.834885607271701 0.7599942712341855 -9.655251696511272 0.789117833051166 67956.47500599631 641.7260624673715 -332.8685267322325 9.247690875050186 76663.00320956862 1177.157989347044 5.984085273726609 0.22873362882863002 8.420519920413538 0.6003065437561286 1.0876398158630272 0.002831438376293714 -5.487620330857368e-05 4.080286972309008e-05
14 OMC23_20170912_00054_850 2458009.0968634 49.0 0.097 0.01036 1.6614607575335185 -2.9311451561775037 1.0399720985417604 0.015054707831021657 -2.0 -6.0 -1.9392464924309252 0.502869319129872 -5.832654657152489 0.7713652534570079 65099.01418507441 581.0652887035668 -319.85377352611715 8.373529616856853 73566.44665649744 1189.6121294297886 8.104735180681459 0.5619891716197275 6.078146288526496 0.25038242235346325 1.041794298552583 0.0017350427788426896 -5.897074125375496e-05 2.500309613846885e-05
15 OMC23_20171021_00047_850 2458048.0762384012 64.0 0.089 0.008819 2.840329170075443 -4.274165102635892 1.0841999544663867 0.006401463420460016 -8.0 4.0 -7.8530932874364225 0.6629882618359795 3.9449573670157747 0.7619669567076877 58678.02949310883 514.7426865236981 -302.2814326072869 7.4177776024254305 67244.68888335007 1234.0579350595253 5.876480771228406 0.25181761267730435 7.650807704993658 0.5123535610629372 0.940962974852868 0.0018577766590061647 -0.0004492311478201394 2.6771772467701917e-05
16 OMC23_20171118_00046_850 2458075.994699098 64.0 0.057 0.01036 1.5570798589429842 -2.1577903619737557 1.1031726107806947 0.00878358219608352 -7.0 3.0 -6.935416106444507 0.6144227777073646 2.9270904411687866 0.736465759161322 58766.2387870648 530.9663421103714 -302.8247990513145 7.651571053655762 67448.79356685992 1262.3669783508774 7.666058551876479 0.5316974634353419 5.834067774996006 0.2536524105027965 0.9422540163490305 0.0011127433942195201 -0.00046137207914664913 1.6035357828196013e-05
17 OMC23_20171224_00046_850 2458112.0017361008 47.0 0.071 0.01008 0.8238518967759736 -2.889047125123767 1.016286522461985 0.00804968515964019 -9.0 9.0 -9.115975708791836 0.641391478866925 8.40443083939067 0.7577505699590635 55877.5656875955 494.120805602812 -290.2241409526887 7.120602921681766 65002.15413725905 1331.209978630833 5.86217418859436 0.26839016280704087 7.059212677525343 0.4297302850882112 0.8955760754109241 0.003571022186092775 -0.00047127544830338763 5.1460756622375754e-05
18 OMC23_20180208_00018_850 2458157.839837998 56.0 0.087 0.008906 6.066432043094011 -4.633392380142887 1.085390918137495 0.01165581712802095 -8.0 9.0 -8.093542111432527 0.7517151491025533 8.498026558739667 0.7995071784956206 54403.732777494886 506.82374046205473 -286.8789690822949 7.3036604043417865 63529.78555622876 1297.792002841679 5.74007847266488 0.2537359906180075 7.0845741628260726 0.4311282135901108 0.8728926012681112 0.0034187579913991474 -0.0006070382623992837 4.926653120825913e-05
19 OMC23_20180308_00015_850 2458185.820613399 37.0 0.106 0.0137 5.418267328410722 -6.037378157463884 0.907355356274901 0.007018797629256485 -7.0 9.0 -6.9033078602889475 0.8837512767337028 9.097762058987655 0.9324023681914091 55662.145764474495 509.9889983916101 -286.8217232881745 7.349273861768874 64648.202705307514 1323.5365614041973 5.859539072671414 0.26998339858240533 7.093393872393396 0.44035651964554895 0.8922856322172131 0.003142913850418887 -0.000427871259895074 4.52914372256549e-05
20 OMC23_20180906_00015_850 2458368.1421644017 59.0 0.114 0.01203 0.5711691035093498 -5.932411829504148 1.0543920549864558 0.010540141013714767 -2.0 -2.0 -1.8904954803839757 0.8610265678190951 -1.828119267513756 0.9237881055064623 62667.70766829766 555.310622515376 -310.2576551839712 8.002388014981163 71176.34422978449 1212.0696749030917 7.875222379127134 0.5389720764471425 6.054940630150424 0.25930587862920473 1.0027988677331492 0.0010648314310033066 -0.00011499817890644872 1.5344914148714944e-05
21 OMC23_20181004_00052_850 2458396.059976902 56.0 0.117 0.01075 2.698128716870409 -5.585363830195256 1.1011799977308105 0.01386466178058312 0.0 0.0 -0.06439556367490695 0.10653067641270793 -0.047805739813668424 0.15743156757734128 62438.997624482 547.5826734930071 -311.6828414179848 7.891023154031767 71032.00523011602 1232.0603114998116 6.030762407082743 0.2609904656738883 7.807862116426943 0.534615927782405 0.9995706424847869 0.000830083162834009 -0.00018693593193508384 1.1962039541601476e-05
22 OMC23_20181102_00039_850 2458424.9394096993 46.0 0.112 0.01171 0.96064757249005 -4.099447746514483 1.0066201578067466 0.01480308200480743 -5.0 -8.0 -5.056388099393843 0.8318035302608261 -7.803807562554368 0.9079558132525466 66848.27074573551 610.4535029745985 -326.80477050578867 8.797032843557924 75310.55860994697 1155.698010074858 6.0685364106863044 0.23719966754697375 8.294272436925409 0.5728910799301645 1.0700777272331916 0.0023316896619829095 -2.9949319299227284e-05 3.360117117992014e-05
23 OMC23_20181203_00055_850 2458455.9553587995 64.0 0.085 0.007756 0.15409355242206285 -3.605813019157763 1.162422771408538 0.0033501972023503223 -10.0 4.0 -9.9954270323625 0.10490320579004256 3.9949504617912055 0.1542767191012585 61168.121089120876 527.1187489701252 -314.5217552647299 7.596124714256852 69669.44410976762 1179.5466547066367 7.732284501549105 0.48306573661114655 5.973560079207346 0.24137179484708327 0.9818645574346451 0.002022120822827275 -0.00046775855343670914 2.914007916623774e-05
24 OMC23_20190102_00031_850 2458485.8895602003 63.0 0.099 0.008567 0.25421549541444244 -1.8922885792843978 1.1247138437887327 0.004349943746993407 -12.0 5.0 -11.755750014911882 0.6931037868335955 4.991159178214076 0.8002820089356876 60048.98690649535 517.0342910995091 -314.5463187762828 7.450801168684572 68685.60447756597 1192.2474001464923 5.9118757871957675 0.2422298695891201 7.597349675478898 0.476348646946475 0.9651004661444254 0.001963144671532501 -0.0006340475767963039 2.8290194674141914e-05
25 OMC23_20190205_00037_850 2458519.8649537005 51.0 0.053 0.008279 1.825919302483021 -2.7447586890300792 1.087023950896621 0.009766193552998478 -10.0 8.0 -9.861017747790498 0.8127919637486251 7.746213895279425 0.8582396298100538 57962.99925866176 529.1591654789169 -307.5182756187883 7.625528422412592 67382.71626964242 1290.597998096145 5.769708616911355 0.24413604018368137 7.19140923025145 0.43038223582517365 0.9308637701733362 0.0032734247972793823 -0.0007098459953406102 4.71721841435917e-05
26 OMC23_20190310_00014_850 2458552.6959374994 64.0 0.076 0.01266 2.3342556318268204 -4.088806713160675 0.8204226479060308 0.009135254658124823 -10.0 4.0 -10.021214088884875 0.56591649752683 3.6837510765319337 0.7417613615076323 64149.607966399344 532.7783653186459 -321.26581707171266 7.677683508367034 72722.65551861367 1237.4064960750434 7.909584288431879 0.5271003903020728 6.029182153284436 0.25119961660421614 1.0275441503173202 0.0022661719714339307 -0.0002091443996259379 3.2657016543259576e-05
27 OMC23_20190407_00011_850 2458580.6968749985 54.0 0.071 0.01154 4.8187408069734525 -2.7827833730784546 0.9485466391190089 0.010460220068092076 -9.0 9.0 -8.962260025755967 0.789173616033216 8.529541023045482 0.8426010938629814 58588.57146656444 488.9624593135085 -296.6687036287617 7.0462677414780295 67330.58707655044 1309.9128857973496 7.211264568181937 0.4378182853080446 6.056600112268654 0.2790283482875171 0.9389901541055121 0.0035746894083541676 -0.00027924797739409257 5.1513605111108186e-05
28 OMC23_20190812_00093_850 2458708.199930601 56.0 0.101 0.009675 3.727769123002397 -3.581441171135578 1.103382559579054 0.011538522847524104 0.0 -4.0 0.12906308531998434 0.7227929478363405 -3.816337125494158 0.7376843948613643 60788.58123417472 534.9074007769076 -297.8052486755586 7.708364313185573 69249.45183051404 1249.5345287349694 7.835857362179628 0.5685465539494631 6.034434310309309 0.27386556476686785 0.9707406788005252 0.0016781601814085767 1.542448809932484e-05 2.4183384188819733e-05
29 OMC23_20190909_00061_850 2458736.156215299 62.0 0.065 0.008478 2.7212765191947548 -3.080639727759577 1.1318102706299222 0.012280329651175804 0.0 0.0 0.18331328792345403 0.8320840198110474 0.12169764758147039 0.8854781306414468 60852.90737848824 535.6614085484281 -300.80298255992096 7.71923000063689 69311.31335243823 1232.954559786602 6.003772776154527 0.2614168361020874 7.834621425528062 0.5427104117488307 0.9728927621738763 0.0003646274231194798 -7.914084901505926e-05 5.254518756539994e-06
30 OMC23_20191009_00037_850 2458766.005787 43.0 0.091 0.01108 1.9727203095265238 -2.960674549228463 1.0001677401924833 0.01885139974581014 -5.0 -8.0 -4.831950787573788 0.8821977456027194 -7.725080286753922 0.9506278045047828 69316.10865924398 619.6945154981192 -328.2692337767675 8.930201847161117 77562.2711498053 1180.9293882153593 8.522787704423845 0.5948173852382812 6.201630742028225 0.24498497801859478 1.1072976714365823 0.0011899183432086185 0.0002986808973449717 1.7147499731399183e-05
31 OMC23_20191111_00044_850 2458798.9117592983 46.0 0.116 0.01181 3.987834955769582 -0.9627898797167411 1.0396715459992028 0.009042368341814145 -4.0 -9.0 -3.893106482579583 0.487693685916261 -8.805072544123618 0.7371695036329988 63732.53001072783 592.5572828782591 -311.7383690652012 8.539136644178784 72177.08168339795 1203.2741412644425 8.19482189590975 0.5944171444742536 5.996994936580398 0.24802925126057646 1.019158844758038 0.0018087870288956422 -1.9397990956848687e-05 2.6065795892255413e-05
