# Epoch Name                        JD                 Elevation T225  RMS      Steve_offset_x      Steve_offset_y       Cal_f              Cal_f_err            BA                 BA_err             MA                  MA_err             Covariance_div         JCMT_Offset_x JCMT_offset_y XCorr_offset_x      XCorr_Offset_x_err  XCorr_offset_y      XCorr_Offset_y_err  BD                 BD_err                MD                      MD_err               
  1     OPH_CORE_20160115_00084_850 2457403.324884299  43.0      0.067 0.01266  0.0                 0.0                  0.9044928172625188 0.011226447031566106 49529.65946252554  294.315037499928   -361.5578459037097  19.43403999250818  Infinity               0.0           0.0           0.0                 0.12286100511353246 0.0                 0.26277359544298234 1.000000000028682  Infinity              -2.1811441541785825E-12 Infinity             
  2     OPH_CORE_20160205_00063_850 2457424.1739583015 39.0      0.038 0.01099  -6.722616361333493  -1.874516498835074   1.0808192946555852 0.009493028659492014 45486.90739913294  286.5032203545506  -356.5164139318555  18.91821391735795  -6.043437663728844E-8  2.0           -6.0          1.940719414576563   0.12465427316127671 -5.392870056348556  0.2740517170511727  0.9188932992258962 0.0010266645060301443 -6.104981699599499E-4   6.779210641849965E-5 
  3     OPH_CORE_20160226_00051_850 2457445.094097201  36.0      0.045 0.009732 -4.744044537815157  1.368873317310048    1.0832971380806584 0.011346158572708579 43671.57985009573  275.3462836415066  -349.6095968775646  18.181505903945105 -2.7324229608022366E-8 2.0           -10.0         1.9796106727157508  0.12413332611954314 -9.472735680043428  0.27136877902939976 0.8823446118751137 6.903359232488261E-4  -7.658661977216763E-4   4.558385787162401E-5 
  4     OPH_CORE_20160319_00065_850 2457467.1138889007 45.0      0.044 0.01157  -3.531925411722992  0.1637619455511764   1.0594607390004624 0.021953485663887537 42412.44409917136  269.6842929378533  -328.7172790484791  17.807636819311394 -2.2825192582635672E-8 2.0           -2.0          1.8933577548433789  0.12396352162749333 -1.5864204679908198 0.2679469461444955  0.8566974238362186 6.309482430738408E-4  -4.7759470804020765E-4  4.16624061678825E-5  
  5     OPH_CORE_20160417_00043_850 2457495.9824537    41.0      0.038 0.01086  -3.129903272589739  -0.39344912401162446 1.0494296784712316 0.013280551343203856 45682.86359844155  259.37700843200474 -349.6755256602723  17.12703171265679  -3.3888648718564916E-8 3.0           -7.0          2.8973223656365974  0.12207014926222282 -6.415133769505957  0.2639654639315379  0.9226614239796058 7.688004402112851E-4  -3.978019294978985E-4   5.076498481918066E-5 
  6     OPH_CORE_20160521_00034_850 2457529.8544676006 34.0      0.076 0.0164   -2.4185664580099715 -0.08006748110176432 0.9066558945670671 0.027694776293497123 51824.892992548164 286.00651576815284 -387.1619992040779  18.885416014153833 -1.918665886230209E-7  2.0           -9.0          2.22826767678049    0.11953981064032945 -8.52015707846573   0.25990957254428426 1.0465156763702763 0.0018293046463173728 -2.1145429691271644E-4  1.2079164040350916E-4
  7     OPH_CORE_20160826_00011_850 2457626.7099536993 44.0      0.108 0.01824  -3.9724879871104535 -0.7885934403626038  0.9237992344041809 0.010921402009384492 45618.3194190383   314.327343240608   -352.61597653468345 20.75548022216105  -8.377112211755107E-8  -1.0          0.0           -0.8787782677887321 0.12257423200446435 0.1805474942690921  0.2691868725424823  0.9215134234171434 0.0012087422790726624 -5.019559175181154E-4   7.98149506194432E-5  
  8     OPH_CORE_20170206_00083_850 2457791.1673610993 41.0      0.11  0.01351  -0.9353958494098921 -0.26275990903670277 0.9920452035582952 0.007151302364443562 46112.11360530296  265.081370824032   -354.85239973056525 17.503698768359428 -4.5896186248385175E-8 7.0           -7.0          7.138221948175129   0.12080279535023072 -6.655892233918166  0.26113905316567065 0.9313483575960748 8.94694549204203E-4   -4.472739746459453E-4   5.9077953632020136E-5
  9     OPH_CORE_20170320_00053_850 2457833.0468171015 38.0      0.062 0.01038  -2.9770971130846218 1.6797125316123678   1.0379161487463762 0.011114387013791166 46393.56251718291  274.430222088624   -355.8838897166376  18.12101682725032  -1.0003953944726978E-7 5.0           -8.0          4.88438243720833    0.12189112615700946 -7.290466956855795  0.26948139383698966 0.937029665644596  0.0013209070727060162 -4.245267698733381E-4   8.722139683102419E-5 
  10    OPH_CORE_20170419_00033_850 2457862.9422454014 34.0      0.105 0.01486  -1.48946245672806   0.7069329850951153   1.003138459790633  0.014010803928027634 45351.095231524756 267.0854189866904  -356.1039618278896  17.636028826069108 -5.7243135921878365E-8 3.0           -10.0         3.0468384397760815  0.12186271193494416 -9.411134151986374  0.2655240615525842  0.9161119602860135 9.991903293584553E-4  -6.163171039932358E-4   6.597795109360495E-5 
  11    OPH_CORE_20170518_00028_850 2457891.8655903004 34.0      0.039 0.01117  -3.8225109885689537 1.3033331469088694   1.09288030186842   0.008542178667030515 45971.528307407534 275.5880886673205  -357.1167114894371  18.197472166267744 -7.415324407516195E-8  1.0           -9.0          0.9795826765696063  0.12180644634940571 -8.382188530806701  0.2677740496999167  0.9286311923424738 0.0011372385534208253 -5.352565518197405E-4   7.509347196763367E-5 
  12    OPH_CORE_20170616_00010_850 2457920.8687846996 45.0      0.124 0.01335  -3.925287476900562  1.5316854635531143   1.0116334197609678 0.015845030999940404 46339.43125525248  292.7076163623759  -353.794836961124   19.327898879501635 -1.752674382192736E-8  2.0           -2.0          1.7784495095486932  0.1213477058696505  -1.736012632882705  0.26334717040684963 0.9359116274704607 5.528879023321691E-4  -3.888995570293652E-4   3.6507976885552764E-5
  13    OPH_CORE_20170715_00011_850 2457949.8804281987 35.0      0.098 0.01381  -6.352407680466329  0.672640451992707    0.9726011630230452 0.011101265989164106 46898.22619055825  320.41665715584685 -357.5150946316221  21.157566162937485 -7.545792312202174E-8  -2.0          1.0           -2.11186651993944   0.12207511752924162 0.9669674887843769  0.2714050309380423  0.9472047913356174 0.0011471995008156659 -3.869627871015968E-4   7.575120524686676E-5 
  14    OPH_CORE_20170812_00017_850 2457977.748576399  44.0      0.103 0.012    -3.6455091100792103 -0.6296537038643635  1.0234934148428207 0.017154523588534698 46840.32081754815  315.5491571863597  -358.3807919255583  20.83615862571839  -5.8602920175915025E-8 -2.0          0.0           -2.063645068877804  0.12007556125725967 0.270747567985552   0.26681183153620996 0.9460826271115401 0.0010109883563811678 -4.1955287026262944E-4  6.675699069293636E-5 
  15    OPH_CORE_20170912_00014_850 2458008.718402799  37.0      0.104 0.01483  -0.5056610425869807 -0.5462057729698699  1.0287902813390208 0.018527849748883777 48327.04055575573  328.47020645536867 -358.9666603654139  21.68935382281285  -8.76695530414623E-8   0.0           2.0           -0.0736786529548965 0.11930785207967957 1.98926349691601    0.2653079886165211  0.9759047526851274 0.0012365474237400773 -1.6707904210333524E-4  8.165100204420903E-5 
  16    OPH_CORE_20180116_00077_850 2458135.281169001  45.0      0.041 0.009013 -2.6883710181484437 0.14718883923490825  1.1700454959300854 0.03120240279508749  42957.18224632027  283.7683638271533  -341.2961166122975  18.73762752392938  -4.429614086356989E-8  3.0           -3.0          3.114022282108209   0.12318793381116948 -2.9309328188310246 0.26911209409240744 0.8678845143061041 8.789606375012645E-4  -6.942176674502587E-4   5.803902067654784E-5 
  17    OPH_CORE_20180310_00041_850 2458188.078125     40.0      0.099 0.01244  -3.8911669420810617 -1.0627195986451454  0.9891953539565757 0.01472763525256407  44087.45640714257  287.5781135235457  -349.2212823232284  18.98919072170269  -6.343623333791541E-8  6.0           -6.0          5.979028317704206   0.12372430568511349 -5.4428734044971065 0.27298005765785266 0.8906773442127147 0.0010518533103870157 -6.834883020245819E-4   6.945537397879389E-5 
  18    OPH_CORE_20180427_00012_850 2458235.9351272993 37.0      0.063 0.01125  -6.992814074660572  -1.1466291037741883  1.0318771609025406 0.021489681121846026 47362.99338852091  292.78228541840343 -368.13077147004185 19.332829392492453 -8.311863025080604E-8  2.0           -8.0          1.9799461197004575  0.12186017309209178 -7.542376351395433  0.2691592916865379  0.9567560572258181 0.0012040255010348675 -5.596434336522892E-4   7.950351328477787E-5 
  19    OPH_CORE_20180614_00024_850 2458283.8090277985 39.0      0.08  0.01006  -3.1909935452881384 -0.16334196973843973 1.0544862680752345 0.013614881601720467 47111.0665499765   298.2681497384539  -367.44537579033306 19.69506860316242  -3.933057505922062E-8  6.0           -7.0          6.092107756189279   0.1219978496587537  -6.299272979432146  0.27134128107390804 0.9516793617923329 8.282312827236639E-4  -5.894244690847206E-4   5.468928972815186E-5 
