# Epoch Name JD Elevation T225 RMS Steve_offset_x Steve_offset_y Cal_f Cal_f_err BA BA_err MA MA_err Covariance_div JCMT_Offset_x JCMT_offset_y XCorr_offset_x XCorr_Offset_x_err XCorr_offset_y XCorr_Offset_y_err BD BD_err MD MD_err
1 OPH_CORE_20160115_00084_850 2457403.324884299 43.0 0.067 0.01266 0.0 0.0 0.9044928172625188 0.011226447031566106 49529.65946252554 294.315037499928 -361.5578459037097 19.43403999250818 inf 0.0 0.0 0.0 0.12286100511353246 0.0 0.26277359544298234 1.000000000028682 inf -2.1811441541785825e-12 inf
2 OPH_CORE_20160205_00063_850 2457424.1739583015 39.0 0.038 0.01099 -6.722616361333493 -1.874516498835074 1.0808192946555852 0.009493028659492014 45486.90739913294 286.5032203545506 -356.5164139318555 18.91821391735795 -6.043437663728844e-08 2.0 -6.0 1.940719414576563 0.12465427316127671 -5.392870056348556 0.2740517170511727 0.9188932992258962 0.0010266645060301443 -0.0006104981699599499 6.779210641849965e-05
3 OPH_CORE_20160226_00051_850 2457445.094097201 36.0 0.045 0.009732 -4.744044537815157 1.368873317310048 1.0832971380806584 0.011346158572708579 43671.57985009573 275.3462836415066 -349.6095968775646 18.181505903945105 -2.7324229608022366e-08 2.0 -10.0 1.9796106727157508 0.12413332611954314 -9.472735680043428 0.27136877902939976 0.8823446118751137 0.0006903359232488261 -0.0007658661977216763 4.558385787162401e-05
4 OPH_CORE_20160319_00065_850 2457467.1138889007 45.0 0.044 0.01157 -3.531925411722992 0.1637619455511764 1.0594607390004624 0.021953485663887537 42412.44409917136 269.6842929378533 -328.7172790484791 17.807636819311394 -2.2825192582635672e-08 2.0 -2.0 1.8933577548433789 0.12396352162749333 -1.5864204679908198 0.2679469461444955 0.8566974238362186 0.0006309482430738408 -0.00047759470804020765 4.16624061678825e-05
5 OPH_CORE_20160417_00043_850 2457495.9824537 41.0 0.038 0.01086 -3.129903272589739 -0.39344912401162446 1.0494296784712316 0.013280551343203856 45682.86359844155 259.37700843200474 -349.6755256602723 17.12703171265679 -3.3888648718564916e-08 3.0 -7.0 2.8973223656365974 0.12207014926222282 -6.415133769505957 0.2639654639315379 0.9226614239796058 0.0007688004402112851 -0.0003978019294978985 5.076498481918066e-05
6 OPH_CORE_20160521_00034_850 2457529.8544676006 34.0 0.076 0.0164 -2.4185664580099715 -0.08006748110176432 0.9066558945670671 0.027694776293497123 51824.892992548164 286.00651576815284 -387.1619992040779 18.885416014153833 -1.918665886230209e-07 2.0 -9.0 2.22826767678049 0.11953981064032945 -8.52015707846573 0.25990957254428426 1.0465156763702763 0.0018293046463173728 -0.00021145429691271644 0.00012079164040350916
7 OPH_CORE_20160826_00011_850 2457626.7099536993 44.0 0.108 0.01824 -3.9724879871104535 -0.7885934403626038 0.9237992344041809 0.010921402009384492 45618.3194190383 314.327343240608 -352.61597653468345 20.75548022216105 -8.377112211755107e-08 -1.0 0.0 -0.8787782677887321 0.12257423200446435 0.1805474942690921 0.2691868725424823 0.9215134234171434 0.0012087422790726624 -0.0005019559175181154 7.98149506194432e-05
8 OPH_CORE_20170206_00083_850 2457791.1673610993 41.0 0.11 0.01351 -0.9353958494098921 -0.26275990903670277 0.9920452035582952 0.007151302364443562 46112.11360530296 265.081370824032 -354.85239973056525 17.503698768359428 -4.5896186248385175e-08 7.0 -7.0 7.138221948175129 0.12080279535023072 -6.655892233918166 0.26113905316567065 0.9313483575960748 0.000894694549204203 -0.0004472739746459453 5.9077953632020136e-05
9 OPH_CORE_20170320_00053_850 2457833.0468171015 38.0 0.062 0.01038 -2.9770971130846218 1.6797125316123678 1.0379161487463762 0.011114387013791166 46393.56251718291 274.430222088624 -355.8838897166376 18.12101682725032 -1.0003953944726978e-07 5.0 -8.0 4.88438243720833 0.12189112615700946 -7.290466956855795 0.26948139383698966 0.937029665644596 0.0013209070727060162 -0.0004245267698733381 8.722139683102419e-05
10 OPH_CORE_20170419_00033_850 2457862.9422454014 34.0 0.105 0.01486 -1.48946245672806 0.7069329850951153 1.003138459790633 0.014010803928027634 45351.095231524756 267.0854189866904 -356.1039618278896 17.636028826069108 -5.7243135921878365e-08 3.0 -10.0 3.0468384397760815 0.12186271193494416 -9.411134151986374 0.2655240615525842 0.9161119602860135 0.0009991903293584553 -0.0006163171039932358 6.597795109360495e-05
