# Epoch Name JD Elevation T225 RMS Steve_offset_x Steve_offset_y Cal_f Cal_f_err BA BA_err MA MA_err JCMT_Offset_x JCMT_offset_y XCorr_offset_x XCorr_Offset_x_err XCorr_offset_y XCorr_Offset_y_err BD BD_err MD MD_err AC_amp AC_amp_err AC_sig_x AC_sig_x_err AC_sig_y AC_sig_y_err
1 OMC23_20151226_00036_850 2457382.8616204 62.0 0.109 0.01162 0.0 0.0 1.0215580205421393 0.011038462943458014 71728.73508721312 453.72461225801754 -761.8612929624944 29.960080070305033 0.0 0.0 0.0 0.3289322444899343 0.0 0.4762762742042078 1.000000000028682 inf -2.1811441541785825e-12 inf 71152.96064475719 955.9046015942196 6.008802512218318 0.19795966864050346 7.961380276713649 7.961380276713649
2 OMC23_20160116_00019_850 2457403.7694792002 56.0 0.057 0.009248 0.47724017368344057 -2.37968348386719 1.0057105376499758 0.010068892134468233 76522.90698115947 423.2578617873962 -763.5210430142829 27.948317133790912 -1.0 -4.0 -1.0452433662462397 0.8603651643828902 -3.71748732242537 0.9348132727129227 1.0658642764093484 0.002099485697696996 0.0009358685520943766 0.00013863201212188094 76002.65530285482 867.2789157302459 6.214542405783543 0.1869190888481915 8.152820453875465 8.152820453875465
3 OMC23_20160206_00012_850 2457424.6887153015 47.0 0.041 0.01156 1.0974368732480215 -3.8150819696126472 1.0077195789013884 0.006409009339564273 73654.72718439497 442.25288204366285 -764.0463693804261 29.20258514398129 -3.0 -7.0 -2.9662402475057377 0.8550860902197334 -6.823427338767715 0.920179108105873 1.0264491111757985 0.0016381135045331469 0.0003516113676919064 0.0001081670182157701 73080.22812150155 945.5758136148746 6.084088762162763 0.20003132511182248 8.060534601296283 8.060534601296283
4 OMC23_20160229_00011_850 2457447.669282399 59.0 0.043 0.01236 -0.551694907530692 -1.0194051030144877 0.9114885608337652 0.008765934741099242 81942.81360289025 499.7184817248461 -749.2467090952043 32.99712043799466 -1.0 -4.0 -0.9845339778939888 0.5875817944797966 -3.596952315730249 0.7415299327961273 1.1397175905098484 0.0009074489324063435 0.0022936412032580475 5.992014220310281e-05 81226.30192807411 963.5389869719818 6.506375136312369 0.21380282812779594 8.886619558172386 8.886619558172386
5 OMC23_20160325_00015_850 2457472.735949099 51.0 0.056 0.01094 4.615651125661402 -4.81958625182221 0.9596143497139786 0.007784448383769177 67246.3206506652 353.78202272823125 -793.4200057632943 23.36072911929052 -2.0 9.0 -1.9872920586656733 0.8255607396851538 8.478766456587891 0.8950881740661946 0.9389482783903685 0.0034075213683487826 -0.0014487018219628833 0.00022500347072394017 66740.51662604604 1026.3631575168415 7.06552449441381 0.32519748589956016 5.857639974169903 5.857639974169903
6 OMC23_20160422_00011_850 2457500.7114120014 35.0 0.05 0.01136 3.101173376836198 -4.68538926891084 0.9575790080383347 0.00651652163446756 71368.66433994581 378.34936001799235 -805.9846491734755 24.982944915406748 -7.0 7.0 -7.0311283084981255 0.7732254718716186 6.601653519468016 0.8128251867723548 0.9959289247751104 0.0014688826981393984 -0.0008822767745562121 9.699240398580956e-05 70916.51656654711 946.2612672396381 7.312088369754038 0.33201486061666946 5.914519461807676 5.914519461807676
7 OMC23_20160826_00020_850 2457627.149050899 52.0 0.106 0.01442 1.044320862792239 -3.7784555289887582 1.0099971463934483 0.012336424766100298 68889.65631261964 426.34502608616185 -773.453631413927 28.152167149022567 0.0 -5.0 -0.08505918150481762 0.7134434910785932 -4.867264901020178 0.7587833446276293 0.9612653922895333 0.0013076746761558487 -0.0007797919536691733 8.634761222266183e-05 68302.3744001953 1019.0365506641788 5.864038526083594 0.20916094660953188 7.646067185813237 7.646067185813237
8 OMC23_20161126_00052_850 2457718.9526851997 63.0 0.062 0.008352 0.4525208988064875 -0.4908831733329374 1.1100753344746055 0.008608570397056642 73615.04625543996 477.2138155128817 -782.2940570797094 31.51110534386189 1.0 1.0 1.132131045789123 0.5953953523661119 1.0299875034785657 0.7110926989679461 1.0262780612944415 0.00032112257494846077 -7.42393089958604e-06 2.1204304169536864e-05 73015.87593510128 990.9724987685371 5.998133709451293 0.1984983262664479 7.9911047455350595 7.9911047455350595
9 OMC23_20170206_00021_850 2457790.731446799 60.0 0.115 0.01159 -0.47525025267452026 -2.807297831781333 1.0162574634523651 0.005906064644995517 71429.00392229467 401.7857347293815 -762.8161510519576 26.530482575761635 0.0 -2.0 -0.030889770364183278 0.7304954040267145 -1.9429107376751915 0.7510208079615767 0.9959001511726661 0.0011319482279343468 -6.699378144325863e-05 7.474406711342257e-05 70878.95509612239 933.8277225465501 7.787301398552971 0.39969034494551936 6.044091805830201 6.044091805830201
10 OMC23_20170318_00012_850 2457830.6846528016 64.0 0.102 0.0115 3.158122988996289 -2.6219241336988204 0.9542825264973365 0.004370162969735039 72870.92946946266 423.01612495321 -781.1347585131156 27.93235531174676 -10.0 5.0 -10.124973829776422 0.7176388891779003 4.828181920034297 0.7172892416513944 1.0160418196350718 0.0010978916334502648 -0.00012374472752219035 7.249538061683632e-05 72350.09297354025 940.8475026103672 7.7239790207831724 0.3734488390533988 6.03024475696024 6.03024475696024
11 OMC23_20170421_00022_850 2457864.6869212985 45.0 0.09 0.01455 4.736854246501134 -3.855379994964609 0.859943954039193 0.017075547947895096 74082.04444509141 343.21694816288084 -787.1538437624052 22.663102122482073 -7.0 8.0 -6.736225242786219 0.7560889124585971 7.719498396849701 0.8434089101821834 1.0326121281278189 0.003221511902880745 3.944944836842268e-05 0.00021272142117422936 73588.68579714307 921.7456116344505 7.4806464503514 0.3197022429504227 6.198011074164155 6.198011074164155
