# Epoch Name JD Elevation T225 RMS Steve_offset_x Steve_offset_y Cal_f Cal_f_err JCMT_Offset_x JCMT_offset_y XC_11_off_x XC_11_Off_x_err XC_11_off_y XC_11_Off_y_err XC_13_off_x XC_13_Off_x_err XC_13_off_y XC_13_Off_y_err XC_15_off_x XC_15_Off_x_err XC_15_off_y XC_15_Off_y_err BA_5 BA_5_err MA_5 MA_5_err BA_6 BA_6_err MA_6 MA_6_err BA_7 BA_7_err MA_7 MA_7_err AC_11_amp AC_11_amp_err AC_11_sig_x AC_11_sig_x_err AC_11_sig_y AC_11_sig_y_err AC_11_theta AC_11_theta_err AC_13_amp AC_13_amp_err AC_13_sig_x AC_13_sig_x_err AC_13_sig_y AC_13_sig_y_err AC_13_theta AC_13_theta_err AC_15_amp AC_15_amp_err AC_15_sig_x AC_15_sig_x_err AC_15_sig_y AC_15_sig_y_err AC_15_theta AC_15_theta_err 
1 NGC1333_20151222_00018_850 2457378.7054744996 52.0 0.061 0.01119 0.0 0.0 1.0316478369871247 0.007444994400591138 0.0 0.0 0.0 0.19759997613298821 0.0 0.21514984354483582 0.0 0.2688848104458955 0.0 0.29344768964089163 0.0 0.34158731302597967 0.0 0.3738118323441329 39853.94078892891 304.49485052604587 -838.8676351524973 20.106227062343528 38065.85121437087 365.3421695908994 -670.3796169647676 17.464558262875702 36134.51630358359 405.7131067389468 -533.2953315200035 14.74721021744225 37924.04287452954 1844.5896465794797 4.526906274377161 0.36138748610373567 4.860857063283034 0.4307271550456442 2.8554769534009052 0.7252042336120054 36594.6444419722 2128.7845386000954 4.7449393987250055 0.38021990167807074 5.296578060253528 0.47950959876452315 2.658587031142064 0.5477550485630539 35034.677118770254 2363.158489339887 5.883460577338071 0.5737013153445087 4.9604043855484035 0.41609172167573144 4.126162149051694 0.3910488585480102
2 NGC1333_20160115_00010_850 2457402.685543999 64.0 0.081 0.01242 0.004120718027861628 4.802532886089779 0.9618911284081223 0.006362325923446226 -2.0 -1.0 -1.8947391485430956 0.17736452370357883 -1.1109270850517987 0.20182312872806402 -1.8471733573960591 0.24485658774827818 -1.0977237350882092 0.27611061802648296 -1.7991719030925424 0.3125501831814028 -1.0811265566692327 0.34966908453944473 42606.69324503478 351.6884652890218 -823.821706394717 23.22248827479625 41000.4963150643 391.46801110240375 -672.5371309124926 18.713459218696382 39213.158169987764 420.3452718643905 -545.7511010787871 15.27907269890845 40573.35671424653 1649.959235632677 4.550208860960767 0.29718067674133214 5.44690351690066 0.4566975005485706 2.7030143341860033 0.2806265053631256 39425.789974634106 1874.195678550092 5.844591872884297 0.4849427019914821 4.756085558858698 0.3116013729705313 4.191896153193315 0.25695110504478136 38042.419676628364 2096.8756377385466 6.369957228099053 0.5557298136893998 4.9723972356934105 0.34278951528933815 4.124978126379993 0.2301059258437676
3 NGC1333_20160205_00017_850 2457423.7525346987 68.0 0.037 0.0125 0.5091903537765256 4.865010475837787 0.9745107719056448 0.016206785466468983 -10.0 7.0 -9.924346787396104 0.17903252562364083 7.03932354919894 0.19908722126362388 -9.887045856530193 0.24362890398702383 7.045777642877994 0.2696887955319803 -9.849633538930163 0.3078844473123136 7.056737399777887 0.3393689881267823 43225.16270677826 249.95631163198672 -762.4910117957511 16.504969901169176 41881.44484484118 294.77607412999515 -636.3790969064622 14.091266612891056 40326.28997166346 336.3051090494202 -526.0625435713634 12.224308208217337 41116.407187551056 1560.240594196558 5.5337812909659565 0.46449420912816847 5.029182904127381 0.36232136193746717 1.2947608325212328 0.48584564951046166 40140.45854293205 1746.6223230059086 5.923379929158385 0.46572137475422054 5.196172658530005 0.34589520333084967 1.0958770593805618 0.38830361124339463 38939.7347202036 1946.710882124403 6.437287337088224 0.5194779402382903 5.366413918297233 0.3591966237169377 4.1299792475435355 0.2994788481314308
4 NGC1333_20160229_00017_850 2457447.7127894014 62.0 0.042 0.01093 0.30684445502356783 0.7568385104107244 0.9878985006953654 0.008283504829510761 -9.0 9.0 -8.945239785060267 0.19828725782745726 9.0480699215517 0.21125057998114102 -8.891573628237097 0.2700577687771488 9.049052468956035 0.2885987963946535 -8.839862171008406 0.33989640987210096 9.055526539538619 0.3647220389173991 39364.132342597855 267.6701358696796 -769.913175093809 17.674638721041806 37764.482934325 322.4321839806842 -618.9030595393018 15.413319696411452 36022.13748926283 361.97457620302015 -495.08387443278826 13.157364188295212 37322.5409230272 1698.4025129511374 5.127925890051447 0.4309005855734956 4.818026951598179 0.373229597629436 1.0501713613046268 0.9424997343736914 36082.77010198803 1911.6803407108023 5.033465058334995 0.3849588260971301 5.630582449502135 0.4850423369106147 5.653840316431589 0.5524834269875183 34660.62193057385 2091.067182348392 5.258514432976741 0.4139091110393084 6.257440268371398 0.5777114198816219 2.468362127231611 0.3744812605979133
5 NGC1333_20160325_00011_850 2457472.7035532 42.0 0.057 0.01171 0.7286147878140696 -2.0808050749555385 0.9072687465437254 0.010267894713001031 -5.0 16.0 -5.060437899194511 0.2081438241832029 15.931967008484634 0.2240390219792242 -4.996315634377851 0.2749782324172207 15.956091617112236 0.2967770109128234 -4.936607959519591 0.33799300636597 15.981453325312032 0.36559125263752895 41570.08050651997 284.527105384731 -781.8265568521946 18.787728407972068 39920.875800223126 335.3385141742495 -626.0391733615049 16.030284579915303 38162.49555431982 369.50063608728846 -501.1118874114383 13.430927856782551 39298.53923281223 1776.7390859867924 4.991529951538123 0.42031838762899426 5.308395539506028 0.4912936066725289 2.814830268238593 0.897084221879017 38015.22724133301 1956.9325870045902 5.81673488578789 0.5187466266456662 5.247126296839871 0.41361962675798597 1.0303969640779211 0.5968105014566779 36616.23134699412 2084.890331774164 6.441367283256222 0.5870674979360225 5.481810666621134 0.424891482193489 4.080761770059304 0.3950955823244323
6 NGC1333_20160802_00031_850 2457603.1466551013 69.0 0.094 0.01173 -0.7202767093321012 1.7591065656180283 1.0095605761140638 0.006216555923050318 4.0 -2.0 4.053019064937587 0.18419608997871947 -2.086190823893361 0.20448169294073987 4.081020352697976 0.2562743474259618 -2.081652572984069 0.284438211284281 4.110302734216532 0.32856604151380003 -2.0735112605648283 0.3649381753223411 38711.62720600624 320.51283999592886 -813.4801197922059 21.163917361783547 37034.21340249764 373.0052263455171 -655.35803699386 17.830877318428996 35176.02868134877 411.96669907530185 -523.4751077674472 14.974521225451955 36926.45356382746 1693.9290754132776 4.355723658790245 0.30264582784797794 5.032642130364395 0.4206749319800232 2.6748585562704545 0.36855149692819655 35719.34967388037 1963.4043663871066 4.54033126322561 0.3273149016367585 5.4684633392633 0.477687288324067 2.5981365747698484 0.30996793517806304 34282.247009396146 2198.6759921626267 4.734101042842945 0.3645954746597818 6.0437443390928385 0.5732403018993883 2.5422922873567075 0.257216397599363
7 NGC1333_20160830_00048_850 2457630.972650498 37.0 0.09 0.01289 1.2127292690169886 -0.33868250605095795 1.0083558503615426 0.010859066529782458 -1.0 0.0 -0.9606531834252507 0.19097135559421 -0.12626044795990765 0.20548344271077265 -0.9088944715892637 0.2634042311109087 -0.1151501923031617 0.2841741926902662 -0.8567831395232872 0.33578441022190886 -0.10099256489971253 0.3635113753322205 39391.69081676456 286.59858875493387 -826.0727785666751 18.924511444371984 37685.66205722874 349.44868551250295 -665.1942544753504 16.704797289690674 35805.61879955128 395.0638033039476 -531.7563384514981 14.360120016430832 37566.78816047715 1732.2936687123242 4.8867095656086645 0.38927565121708524 4.479146630516818 0.32067568774837035 1.0534733675939343 0.627992800738762 36325.188247988255 2016.454549144516 5.333132987868689 0.45076802025661467 4.653039683914761 0.3444065170139549 4.1074093341305185 0.4347388115698315 34840.45757680371 2262.760648523821 5.917468714767815 0.5504907844846321 4.839935712546245 0.38252546628963335 4.060167731788234 0.3204481246590332
8 NGC1333_20161119_00088_850 2457712.020995401 50.0 0.067 0.008533 0.37201549348881047 1.900255035495979 1.038018530341325 0.005093604748428119 -6.0 14.0 -6.074929290376275 0.19012674828899906 13.814072151653505 0.21161086328697207 -6.028678782638195 0.26022497501328407 13.827859546659283 0.2887073203051584 -5.983936715912478 0.3303891154610204 13.843950790383701 0.36551470278303 39346.3385979288 286.65029917780845 -801.6420970726316 18.927925948339038 37740.054241136044 339.21394722694055 -650.0810517980406 16.215543035295052 35944.29898142052 380.84041104712674 -522.6153170877826 13.843115815632506 37498.14567283261 1666.7630315519941 5.028533746614872 0.427808879136989 4.540569910138472 0.331924604704586 1.2831753355237074 0.4727682913033899 36318.5269541197 1941.0256785093084 5.4325031214530455 0.4691714873972873 4.743332452621196 0.3502288619558994 1.1105676384081509 0.4100284730336801 34904.69901802241 2184.3366690235043 5.98068319764811 0.5528825643042113 4.944746397678803 0.38450243156349106 1.0009529377287831 0.3263531402668036
9 NGC1333_20161126_00021_850 2457718.734976899 37.0 0.048 0.01009 1.9833707557560425 1.6288147038156018 1.149097319768195 0.009940973208621902 0.0 -2.0 -0.010815636928640515 0.18560216225981097 -2.237578947854047 0.2038214695631687 0.0013868296738337449 0.2576631250430734 -2.2265319711680434 0.28305059032524543 0.014167337983650441 0.33073210385407614 -2.217680538034898 0.3637898270696603 37978.292353119294 283.36724813562915 -808.5995493486839 18.711141553810776 36305.514715726575 342.79124455941883 -650.5982311436321 16.38654963020234 34450.95229501718 388.051765762975 -518.9076664918275 14.10524045344168 36284.13314523477 1673.4327478419436 4.816315446887939 0.3897826658751737 4.419879954888974 0.3186212784675027 1.18424208919064 0.58872614406627 35081.81338552802 1959.4555049437813 4.594232007542463 0.34049594778398057 5.245885951472806 0.4457404430575291 2.6189008487859584 0.43167183056104014 33634.73240589467 2213.1789028459966 5.81636862472047 0.5432694069847247 4.777657821341839 0.3793083412294962 0.9707506436467461 0.3231483420985309
10 NGC1333_20170206_00029_850 2457790.8069560006 49.0 0.124 0.01383 1.631314371638962 3.3743280780316907 0.9317507388748897 0.007077115467713653 -5.0 13.0 -4.959841985135995 0.18857667284745014 12.43096215568383 0.21304103241841857 -4.912809337498942 0.25837387660082733 12.43699842256791 0.28841691508280076 -4.863754175211966 0.3273895513512805 12.453161500597133 0.3626511522180003 40174.85916607341 281.14436864893355 -795.0783030167244 18.564361617274084 38589.47438370068 331.9259839105612 -645.5240954583403 15.867154347555315 36824.42044614959 372.1787219189251 -520.2414620087633 13.528273293816364 38215.74044666297 1676.438850426007 4.676746836955365 0.3511625998847714 5.117606560538228 0.44035440641669765 2.8533528961763928 0.5444670854579998 37038.85403872536 1922.8851013666858 4.889133268895514 0.36155957711440817 5.529359588518584 0.4723929665126674 5.805470478832671 0.4551229649028006 35649.55275535238 2139.019282381598 6.076544560015631 0.5471258388295426 5.097507279268454 0.38966826041278624 0.9827014510407146 0.34947674209989493
